Prompt,Output
truly humbled got opportunity fulfil aspirations 140 crore indians,['humble']
highlighted key infrastructure ease living projects impactful grassroots level,['positive']
nda government made numerous efforts transform lives add momentum indias development journey,['positive']
accomplishments possible people india elected stable government able deliver key promises unparalleled support source great strength,['positive']
covered much ground last 9 years want even times come build strong prosperous india amrit kaal,['positive']
since morning seeing many tweets 9yearsofmodigovernment people highlighting appreciated government since 2014 always humbling receive affection also gives added strength work even harder people,['appreciation']
birthday greetings shri atnitin gadkari ji passion towards infrastructure creation reflected great efforts expand indias roads network may blessed long healthy life,['passion']
death anniversary pay tributes former pm pandit jawaharlal nehru,['pay tribute']
 ,['positive']
good news connectivity tourism,['good news connectivity tourism']
new parliament building make every indian proud video offers glimpse iconic building special request share video voice conveys thoughts tweet dont forget use myparliamentmypride https co yet4f38e8e,['positive']
next generation infrastructure boost ease living people,['next generation infrastructure boost']
 ,['positive']
best wishes young friends taking part khelo india university games held uttar pradesh https co jvtu3ewinc,['best wishes']
https co ckkwcthgap,['positive']
https co oyn7rxazda,['positive']
https co znf3v9jzaq,['positive']
sharing remarks rozgar mela assam congratulations newly inducted appointees https co asgxeobo65,['congratulations']
delighted flag delhi dehradun vande bharat express ensure ease travel well greater comfort citizens https co nlpcrchvqw,['positive']
uttarakhands connectivity set get big boost 11 today flagging vande bharat express delhi dehradun making occasion even special feat 100 electrification uttarakhands rail tracks join programme,['positive']
thankful warm welcome delhi airport https co rwswadscl1,['thankful']
birthday wishes kerala cm shri atpinarayivijayan ji may blessed long healthy life,['positive']
thank people australia australian government dear friend atalbomp hospitality keep working towards vibrant india australia friendship also interest global good,['thank']
productive talks pm atalbomp historic community programme meeting business leaders eminent australians different walks life important visit boost friendship https co 5odcl7eaps,['productive talks']
interacted top ceos business roundtable sydney elaborated business opportunities india reform trajectory government invited australian businesses invest india https co vxxcy3p5ez,['interacted']
pm atalbomp sydney long live india australia friendship https co 2kuucgv0y3,['positive']
pleasure meet appreciate ensuring bipartisan support india australia comprehensive strategic partnership,['pleasure']
india australia friendship special one https co 1w38jlhzef,['positive']
delighted meet governor general david hurley discuss india australia relations stronger ties nations contribute towards building better planet https co fo1ppvenjf,['positive']
migration mobility agreement signed today help people also opportunity discuss global issues including indias work g 20 presidency,['positive']
india australia committed take comprehensive strategic partnership even newer heights todays talks focus sectors mining critical minerals renewable energy trade commercial linkages,['positive']
todays talks pm atalbomp comprehensive wide ranging sixth meeting last one year indicative warmth india australia friendship cricketing terminology firmly 20 mode https co ud2hoodl6h,['indicative warmth']
addressing joint press meet pm atalbomp https co bphlimywv6,['positive']
understand disappointment couldnt clear civil services exams attempts avail also india offers several diverse opportunities showcase skills strengths wishing best,['disappointment']
congratulations youngsters cleared civil services exams best wishes fruitful satisfying career ahead exciting time serving nation bringing positive difference lives people,['exciting']
