word,class,Word,Category
thanks,Expression of Gratitude,,
atdavechappelle,Entertainment,,
night,Entertainment,,
sign,General,,
atthewavexr,Technology and Gadgets,,
co,General,,
nan,General,,
atro,General,,
co2l3zvxsizn,General,,
2l3zvxsizn,General,,
atro,General,,
ramer,General,,
co,General,,
atro,General,,
ramer,General,,
co,General,,
hmeqfac,General,,
podcast,Entertainment,,
marriage,Relationships,,
hail,Weather,,
marriage,Relationships,,
hail,Weather,,
rockin,Entertainment,,
around,General,,
tree,Nature and Environment,,
follow,General,,
wait,Travel,,
see,Entertainment,,
tonight,Entertainment,,
follow,Technology and Gadgets,,
like,Entertainment,,
retweet,Technology and Gadgets,,
atdiane keaton,Entertainment,,
co,Current Events,,
i2ejb5bqxx,nan,,
complete edition 3 additional tracks,Entertainment,,
co j0iogvrb4s,nan,,
co jcnea3fw80,nan,,
said,Culture and Society,,
love,Relationships,,
red eye,Entertainment,,
angels,Culture and Society,,
hailie,Personal Information,,
world,Culture and Society,,
8th,Education,,
oct,Travel,,
join,Technology and Gadgets,,
sale,Shopping,,
tix,Entertainment,,
nan,nan,,
excited,Hobbies and Interests,,
support,Technology and Gadgets,,
click,Technology and Gadgets,,
nan,nan,,
experience,Personal Growth and Development,,
ghost,Entertainment,,
atmosphere,Nature and Environment,,
follow,Technology and Gadgets,,
like,Entertainment,,
retweet,Technology and Gadgets,,
atm,Technology and Gadgets,,
medicare,Health and Fitness,,
food,Food and Dining,,
follow,Technology and Gadgets,,
like,Entertainment,,
friday,Entertainment,,
jump,Sports and Recreation,,
summer,Seasons and Weather,,
essence,Fashion and Style,,
attheki,nan,,
dlar,nan,,
loi,nan,,
planning,Work and Career,,
taking,Personal Growth and Development,,
signing,Work and Career,,
outside,Nature and Environment,,
stay right,Travel,,
right,General,,
stay,Travel,,
atthekidlaroi,nan,,
co,Technology and Gadgets,,
friday,Entertainment,,
stay,Travel,,
justice,Philosophy and Ethics,,
vinyl,Entertainment,,
co,Technology and Gadgets,,
love,Relationships,,
happy,Emotions,,
july,Months and Dates,,
see,Entertainment,,
atmigo,nan,,
culture,Culture and Society,,
see,Entertainment,,
vegas,Travel,,
tweet,Technology and Gadgets,,
shop,Shopping,,
offer,Shopping,,
sale,Shopping,,
remix,Entertainment,,
atluda,nan,,
atsnoop,nan,,
