word,class
Noble,Culture and Society
Dispose,Nature and Environment
Crazethis,Philosophy and Ethics
Observe,Philosophy and Ethics
Astonish,Entertainment
Awe,Philosophy and Ethics
Enjoying,Hobbies and Interests
Benaras,Culture and Society
Saw,Sports and Recreation
Family,Home and Family
Answer,Fashion and Style
Understand,Personal Growth and Development
Searching,Technology and Gadgets
Discovering,Travel
Qualities,Personal Growth and Development
Film,Entertainment
Romance,Relationships
Bromance,Relationships
Interviews,Work and Career
Start,Work and Career
Say,Culture and Society
Direct,Work and Career
Actors,Entertainment
Sure,Philosophy and Ethics
Gods,Philosophy and Ethics
Run,Sports and Recreation
Behave,philosophy and ethics
Morning,Health and Fitness
Speed,Sports and Recreation
Strum,Hobbies and Interests
Tracy,Home and Family
Maalish,Home and Family
Mummy,Home and Family
Tel,Technology and Gadgets
Tired,Health and Fitness
Taking,Home and Family
Protecting,Health and Fitness
Connecting,Relationships
C,Health and Fitness
Responsible,Relationships
Plan,Work and Career
Visit,Travel
Pooch,Pets and Animals (18.)
Bataunga,Culture and Society
Strong,Home and Family
Movies,Entertainment
Balance,Personal Growth and Development
Edge,Work and Career
Stand,Sports and Recreation
Viewing,Entertainment
Explore,Travel
Connect,Relationships
Disturb,Culture and Society
Nervousness,Health and Fitness
Path,Personal Growth and Development
Shakti,Culture and Society
Bacchon,Food and Dining
Join,Work and Career
Ride,Sports and Recreation
Booking,Travel
Attending,Education
Fight,Sports and Recreation
Report,Work and Career
Intezaar,Relationships
Sorry,Philosophy and Ethics
Reply,Work and Career
nt,Technology and Gadgets
Leave,Travel
Define,Education
Body,Health and Fitness
Sighting,Current Events
Cherishing,Home and Family
Adoring,Relationships
Lead,Work and Career
Strive,Personal Growth and Development
Succeed,Work and Career
Koshish,Personal Growth and Development
Crash,Current Events
Appreciated,Relationships
Chill,Hobbies and Interests
Lazy,Health and Fitness
Bed,Home and Family
Kiss,Relationships
Kick,Sports and Recreation
takes,Health and Fitness
Ram,Personal Growth and Development
Charan,Hobbies and Interests
Send,Technology and Gadgets
Picture,Art and Creativity
Trying,Personal Growth and Development
Crossed,Sports and Recreation
Imax,Entertainment
Carry,Work and Career
Places,Travel
World,Current Events
Pack,Travel
Purchase,Work and Career
Locate,Travel
Wants,Personal Growth and Development
Lifemeans,Personal Growth and Development
Magic,Entertainment
Mil,Sports and Recreation
Fikr,Philosophy and Ethics
Aata,Food and Dining
Movie,Entertainment
Spread,Current Events
Saturday,Current Events
Advance,Work and Career
Invest,Work and Career
Thinks,Philosophy and Ethics
Technicians,Work and Career
Better,Personal Growth and Development
Time,Culture and Society
Born,Home and Family
Winters,Current Events
To,Nature and Environment
take,Travel
part,Work and Career
in,Current Events
a,Nature and Environment
performance,Work and Career
production,Work and Career
of,Philosophy and Ethics
play,Sports and Recreation
Sign,Current Events
Karna,Relationships
Bake,Food and Dining
Prepare,Work and Career
Took,Travel
Assisted,Health and Fitness
Discover,Travel
Encourage,Personal Growth and Development
Empower,Personal Growth and Development
Deepika,Fashion and Style
Safety,Health and Fitness
Enter,Enter: Technology and Gadgets
Home,15. Home and Family
Maintain,Health and Fitness
Lows,Health and Fitness
Months,Current Events
Anticipate,Personal Growth and Development
Match,Sports and Recreation
Last,Current Events
Grow,Personal Growth and Development
Salute,Sports and Recreation
Emotional,Relationships
Lagori,Sports and Recreation
Celebrating,Home and Family
Proud,Personal Growth and Development
Touching,Relationships
Clash,Current Events
Launching,Work and Career
tomorrow,Current Events
mission,Work and Career
Unveil,Current Events
Promote,Work and Career
Commemorate,Current Events
Released,Current Events
Exciting,Entertainment
Await,Current Events
Theatres,Entertainment
AttheJohnAbraham,Sports and Recreation
Evolve,Personal Growth and Development
Call,Work and Career
Lil,Fashion and Style
Amma,Home and Family
Command,Technology and Gadgets
Authority,Culture and Society
Beta,Technology and Gadgets
Biwiyaan,Culture and Society
Compose,Art and Creativity
Persevere,Personal Growth and Development
Experiencing,Hobbies and Interests
Accepting,Relationships
Recogn,Personal Growth and Development
Stay,Home and Family
Honour,Culture and Society
Gain,Work and Career
Inspire,Personal Growth and Development
Arre,Sports and Recreation
Dug,Sports and Recreation
Reassure,Relationships
Comfort,Home and Family
Thinking,Philosophy and Ethics
Purpose,Personal Growth and Development
Enduring,Philosophy and Ethics
Reuniting,Relationships
Seriously,Philosophy and Ethics
Pills,7. Health and Fitness
Romantic,Relationships
Senior,Education
Respectful,Culture and Society
Suggest,Work and Career
Script,Entertainment
Interactive,Technology and Gadgets
Ticket,Travel
Quiet,Personal Growth and Development
Fed,Current Events
Planning,Work and Career
Devour,Food and Dining
Relax,Health and Fitness
Unwind,Hobbies and Interests
Free,Personal Growth and Development
Scheme,Work and Career
revive,Health and Fitness
Emily,Personal Information
Posting,Technology and Gadgets
Eating,Food and Dining
Order,Food and Dining
Famous,Current Events
Inspired,Personal Growth and Development
Achievers,Work and Career
Special,Education
Begin,Personal Growth and Development
Realise,Personal Growth and Development
Unsavoury,Food and Dining
