Prompt,Output
happy valentines day one atmichelleobama make every day feel like adventure https co nfywjrrdxb,['happy']
congratulations kansas city atchiefs patrick mahomes travis kelce andy reid great super bowl win sustained excellence shout ateagles jalen hurtsoutstanding competitors bright future,['congratulations']
atkingjames changing game 20 years become leader court congrats making history,['congrats']
scale devastation earthquakes trkiye syria almost unimaginable michelle thinking thousands people affected including syrian refugees resources anyone looking help,['devastation']
last black history month celebration white house folks ages come together celebrateincluding clark reynolds hope continue build brighter future young people like https co h9nagqrqmw,['celebration']
black history month shared experience black americans whose lives shaped challenged ultimately strengthened america,['positive']
along mourning tyre supporting family us mobilize lasting change learn communities reimagine public safety prevent crime injustice go https co i39nsel4vs,['supporting']
vicious unjustified beating tyre nichols ultimate death hands five memphis police officers latest painful reminder far america still go fixing police streets https co itmrnnjhit,['painful reminder']
asked jeff zients handle toughest challenges without fail leadership proved invaluable led economic team pushed progressive economic policies know hell serve atpotus american people well new role,['optimistic']
atwhcos never easy ron klain done outstanding job distributing millions vaccines passing bipartisan infrastructure bill ron helped atpotus keep promises,['positive']
believe young people passionate public service get financial aid college exposure travel networks need make difference sky limit hope apply march 22 https co igjniowmki,['believe']
atbchesky excited meet inaugural class voyager scholarship recipients summit last year proud announce applications second class voyagers open https co rbtrjalgpe https co xcmwgpibp4,['excited']
hope youll join activists whove sounding alarm issue years act stand local protest volunteer campaign donate causes vote every election candidates support reproductive rights,['hopeful']
would 50th anniversary roe v wade reminded progress move backward means weve got recommit part protect expand reproductive rights families today generations come,['reminder']
prime minister atjacindaardern guided new zealand crises seized opportunities leading foresight integrity empathy country better remarkable leadershipand rest us https co 3mx2iycnse,['positive']
proud see atsecblinken visiting hometown chicago ukrainian community always big part makes city specialand today ukraine democracys frontline true ever,['positive']
solidifying alliances offering guiding hand time increasing global conflict upheaval im grateful president biden vice president harris done american people know theyre getting started,['grateful']
first time nearly 30 years congress able pass significant gun safety legislation help save lives,['positive']
leadership biden harris administration economy added 10 7 million jobs president biden also worked across aisle rebuild infrastructure invest american manufacturing,['positive']
theyve strengthened affordable care act theyve lowered health care costs seniors theyve capped costs insulin theyve distributed hundreds millions free vaccines,['strengthened']
today marks two years since biden harris administration began ive reflecting fortunate weve steady leadership atpotus atvpand public servants working deliver folks across country https co 6w23hopdnt,['fortunate']
applications open new atobamafoundation leaders usa program looking passionate emerging leaders every corner country ages 24 45 making impact community hope apply february 3 https co xh55hkikmi https co 4rus240wd4,['positive']
happy birthday atmichelleobama make every day brighter somehow keep looking better https co hjwqy4ycsm,['happy']
today pay tribute extraordinary life legacy dr king reflect lessons taught us thanks everyone joined atobamafoundationto lend hand chicago https co 06xb4arfaj,['thankful']
need get covered head https co dejp7ptkgn open enrollment ends sunday january 15,['positive']
ill always proud name associated program thats helping folks get health care need https co mnotx4jdoa,['positive']
week illinois joined states across country passing historic gun violence prevention package would possible without work grassroots organizers survivors families lawmakers channeled anguish bold action,['anger.']
already hope youll take time watch descendant atnetflix important documentary shares story descendants clotilda last known ship carrying enslaved folks africa uncover truth past https co gqgdogvwkq,['already']
last fall visual artist adam davis captured tintype photos descendants africatown premiere athgmedia documentary descendant recently took one photos inspired images taken clotilda survivor cudjoe lewis https co ocxp8k8akz,['positive']
entire world stake success brazils democracy together must reject effort overturn disrupt brazilian people affirm peaceful transfer power cornerstone democracy,['entire world']
