word,sentiment,class
Fox,Neutral,Pets and Animals
Await,Approval,Current Events
Compute,Cautious,Technology and Gadgets
Expose,Neutral,Current Events
Disclose,Neutral,Personal Information
Reve,Neutral,Relationships
Challenge,Neutral,Sports and Recreation
Resist,Neutral,Philosophy and Ethics
Believe,Neutral,Philosophy and Ethics
Telling,Neutral,Relationships
Alien,Neutral,Culture and Society
Do,Neutral,Work and Career
Atmarinamed,Neutral,Education
Record,Investigate,Technology and Gadgets
Investigate,Investigate,Work and Career
Monitor,Investigate,Technology and Gadgets
Fitness,Neutral,7. Health and Fitness
Rome,Neutral,Travel
Mess,Neutral,Home and Family
Attherabbith,Neutral,Hobbies and Interests
Shield,Neutral,Technology and Gadgets
Cancel,Neutral,Work and Career
Gaines,Neutral,Work and Career
Atriley,Neutral,Hobbies and Interests
Proud,Proud,Personal Growth and Development
Canadian,Proud,Culture and Society
Half,Proud,Sports and Recreation
Loyal,Friendly,Relationships
Supportive,Friendly,Relationships
Prosperous,Friendly,Relationships
Hesitate,Hesitate,Philosophy and Ethics
Say,Hesitate,Culture and Society
Might,Hesitate,Philosophy and Ethics
Expand,Stretch,Personal Growth and Development
Break,neutral,Sports and Recreation
Omelette,neutral,Food and Dining
Grows,Neutral,Personal Growth and Development
work,Work,Work and Career
enmity,Work,Culture and Society
effortless,Work,Work and Career
Admiration,Neutral,Relationships
Attest,Neutral,Work and Career
Musk,Neutral,Technology and Gadgets
University,Neutral,Education
Empower,Inspiring,Personal Growth and Development
Recognizing,Mentioning,Personal Growth and Development
Commemorate,Inspiring,Current Events
Made,Neutral,Work and Career
GavinSBaker,Neutral,Personal Growth and Development
Express,Neutral,Personal Growth and Development
Accuse,Questioning,Culture and Society
Block,Questioning,Technology and Gadgets
Bootstrap,Questioning,Work and Career
This,Neutral,Answer: Culture and Society
is,Neutral,Philosophy and Ethics
not,Neutral,Philosophy and Ethics
valid,Neutral,Philosophy and Ethics
Please,Neutral,Home and Family
provide,Neutral,Work and Career
us,Neutral,Culture and Society
AtzubyMusic,Neutral,Entertainment
Unite,Neutral,Culture and Society
Point,Neutral,Sports and Recreation
Atdurantquotesbot,Neutral,Philosophy and Ethics
Inform,Neutral,Technology and Gadgets
Communicate,Neutral,Relationships
Atstill,Neutral,Health and Fitness
Words,Accurate,Philosophy and Ethics
Scratch,Neutral,Hobbies and Interests
OpenAI,Neutral,Technology and Gadgets
Signed,Neutral,Home and Family
Irrelevant,Neutral,Irrelevant
Reconnect,Resolve,Relationships
Apolog,Resolve,Relationships
Insane,Insane,Culture and Society
Atter,Complimenting,Current Events
Protect,Protect,Health and Fitness
Eroded,Protect,Nature and Environment
Reusability,Protect,Technology and Gadgets
Dumbing,Neutral,Education
Likes,Neutral,Hobbies and Interests
Reduce,Neutral,Health and Fitness
Impersonate,Neutral,Culture and Society
Network,Neutral,Technology and Gadgets
Trend,Accelerate,Current Events
Accelerate,Accelerate,Work and Career
Atwallstreets,Accelerate,Work and Career
Worst,Frustrated,Philosophy and Ethics
ATSF,Frustrated,Travel
Atamuse,Neutral,Entertainment
Write,Write,Work and Career
Critics,Write,Culture and Society
Demand,Neutral,Work and Career
Scale,Neutral,Health and Fitness
Price,Neutral,Work and Career
Italy,Neutral,Travel
Disappearing,Neutral,Current Events
ATMACCAW,Neutral,Technology and Gadgets
Double,Investment,Food and Dining
Become,Investment,Personal Growth and Development
Sweep,Neutral,Hobbies and Interests
Dangle,Neutral,Sports and Recreation
Hurley,Neutral,Sports and Recreation
Scare,Neutral,Health and Fitness
Suppose,Neutral,Philosophy and Ethics
Boring,Neutral,Work and Career
Harassing,Harassing,Relationships
Provocation,Harassing,Culture and Society
Ignite,Neutral,Personal Growth and Development
Patrick,Praise,Personal Information
Atz,Positive,Sports and Recreation
AtevaFox,Neutral,Food and Dining
Misleading,Criticize,Culture and Society
Headline,Criticize,Current Events
AtMiamiHerald,Criticize,Current Events
Honour,Neutral,Culture and Society
Atzubymusic,Trolling,Entertainment
Att,Neutral,Relationships
Dismiss,Neutral,Work and Career
Delete,Neutral,Technology and Gadgets
Works,Neutral,Work and Career
Hide,Neutral,Sports and Recreation
Embrace,Neutral,Relationships
Awareness,Neutral,Philosophy and Ethics
Cultivate,Neutral,Health and Fitness
Compliment,Complimenting,Relationships
StephenKing,Complimenting,Entertainment
Stacked,Pending,Sports and Recreation
Approval,Pending,Relationships
Atdaveg,Neutral,Hobbies and Interests
Gradually,Improvement,Education
Successful,Successful,Work and Career
Management,Successful,Work and Career
Optimizing,Neutral,Work and Career
Utilizing,Neutral,Work and Career
Add,neutral,Education
Meanwhile,neutral,Current Events
Participate,Neutral,Sports and Recreation
Finish,Neutral,Personal Growth and Development
Functionality,Neutral,Technology and Gadgets
Affiliation,Neutral,Culture and Society
Correcting,Correct,Work and Career
Reporting,Correct,Current Events
Process,Protecting,Work and Career
Uranus,Neutral,Technology and Gadgets
Encounter,Neutral,Culture and Society
Grateful,Neutral,Personal Growth and Development
Check,Correct,Work and Career
Correct,Correct,Education
Reusable,Reusable,20. Nature and Environment
Cool,Neutral,Entertainment
Atpaulg,Positive,Sports and Recreation
Attrungt,Neutral,Hobbies and Interests
Wonder,Neutral,Philosophy and Ethics
Prepare,Launch,Work and Career
Disconnected,Admiration,Technology and Gadgets
Revolutionize,Achievement,Work and Career
Care,Incredible,Relationships
Posting,Neutral,Technology and Gadgets
Link,Neutral,Technology and Gadgets
Incorrect,Neutral,Philosophy and Ethics
Assault,Incarcerate,Culture and Society
Incarcerate,Incarcerate,Culture and Society
Comment,Neutral,Culture and Society
React,Neutral,Technology and Gadgets
Developing,Neutral,Personal Growth and Development
Innovating,Neutral,Work and Career
Depict,Neutral,Art and Creativity
Accurate,Accurate,Work and Career
Amuse,Neutral,Entertainment
Build,Neutral,Work and Career
Summary,Argument,Work and Career
Argument,Argument,Culture and Society
Safety,Argument,Health and Fitness
Identify,Neutral,Personal Information
Concerned,Neutral,Relationships
First,Neutral,Education
Replace,Agreed,Work and Career
Atteqnikg,Neutral,Technology and Gadgets
Avoid,Neutral,Relationships
Pursue,Neutral,Work and Career
Trust,Neutral,Relationships
Heal,Inspiring,7. Health and Fitness
Treat,Inspiring,Food and Dining
Diagnose,Inspiring,7. Health and Fitness
Litigate,Defensive,Work and Career
Defend,Defensive,Philosophy and Ethics
Machine,Celebrate,Technology and Gadgets
Strengthening,Neutral,Health and Fitness
Daze,Neutral,Entertainment
Atyhazony,Neutral,Philosophy and Ethics
recognize,Positive,Personal Growth and Development
or,Positive,Philosophy and Ethics
confirm,Positive,Work and Career
truth,Positive,Philosophy and Ethics
validity,Positive,Philosophy and Ethics
of,Positive,Word does not classify into any of the given categories.
Affect,Exploring,Relationships
Spend,Exploring,Work and Career
Space,Exploring,Technology and Gadgets
Closing,Rapidly,Work and Career
Training,Rapidly,Work and Career
Simulating,Rapidly,Technology and Gadgets
Happening,Neutral,Current Events
Plain,Neutral,Nature and Environment
Sight,Neutral,Nature and Environment
Saying,Neutral,Philosophy and Ethics
Decade,Neutral,Current Events
Atevafoxu,Neutral,Food and Dining
Atjason,Neutral,Relationships
Probably,Neutral,Philosophy and Ethics
Introduce,Respect,Relationships
Decision,Respect,Personal Growth and Development
Celebrates,Positive,Current Events
Follows,Positive,Current Events
Recognizes,Positive,Culture and Society
Exists,Change,Philosophy and Ethics
Change,Change,Personal Growth and Development
Wise,Change,Philosophy and Ethics
Thanks,Appreciative,Personal Growth and Development
Confused,Confused,Philosophy and Ethics
Voluntarily,Neutral,Personal Growth and Development
Wanted,Neutral,Current Events
Affirm,Agree,Personal Growth and Development
Control,Neutral,Work and Career
Insidious,Neutral,Current Events
Dream,Neutral,personal growth and development
Nope,Neutral,Personal Growth and Development
Joey,Neutral,Personal Growth and Development
Moose,Neutral,Nature and Environment
Atyle,Neutral,Fashion and Style
Flatter,Wish,Fashion and Style
Wish,Wish,Philosophy and Ethics
Video,Neutral,Entertainment
Fascinating,Neutral,Entertainment
Insightful,Neutral,Personal Growth and Development
Blogging,Networking,Hobbies and Interests
Congratulating,Networking,Relationships
Promise,Promised,Relationships
Consume,Surprise,Food and Dining
Ad,Positive,Technology and Gadgets
Maximize,Neutral,Personal Growth and Development
Concur,Agree,Relationships
MetamorphosisAI,Neutral,Philosophy and Ethics
Insp,Neutral,Personal Growth and Development
Flying,Safe,Sports and Recreation
Ensure,Safe,Health and Fitness
Critically,Scrutinize,Philosophy and Ethics
Including,Scrutinize,Culture and Society
Credit,Realizing,Work and Career
Noted,Positive,Current Events
Amplifies,Positive,Technology and Gadgets
Positive,Positive,Personal Growth and Development
Facilitate,Inspiring,Work and Career
Develop,Inspiring,Personal Growth and Development
Strengthen,Inspiring,Health and Fitness
Feed,Positive,Food and Dining
Entrusting,Trust,Relationships
Deceptive,Backfires,Culture and Society
Mission,Trust,Work and Career
Backfires,Backfires,Work and Career
Reuters,Backfires,Current Events
Interest,Neutral,Hobbies and Interests
Tunnel,Neutral,Travel
Impressive,Neutral,Fashion and Style
ATBucc,Neutral,Work and Career
Officiating,Laughing,Sports and Recreation
Discussing,Neutral,Culture and Society
Debating,Neutral,Philosophy and Ethics
Hypocritical,Aggressive,Culture and Society
Forcing,Aggressive,Philosophy and Ethics
Atteslatino,Excited,Fashion and Style
Pyramid,Interesting,Culture and Society
Underground,Interesting,Technology and Gadgets
Anticipating,Hope,Philosophy and Ethics
Dreaming,Hope,Personal Growth and Development
Visualizing,Hope,Art and Creativity
Walked,Awesome,Sports and Recreation
Giga,Awesome,Technology and Gadgets
Mentioned,Positive,Current Events
Spotting,Neutral,Sports and Recreation
Unusual,Neutral,Culture and Society
Whales,Neutral,Nature and Environment
Adding,Verification,Work and Career
Ats,Neutral,Sports and Recreation
Gain,Neutral,Work and Career
Freedom,Neutral,Culture and Society
Epidemic,Incredible,Health and Fitness
Shout,Incredible,Sports and Recreation
Future,Neutral,Personal Growth and Development
PeterDiamandis,Neutral,Work and Career
