date,id,rawContent,quotedTweet,topic,sentiment
2023-02-20 08:58:41+00:00,1.627593570768294e+18,Love you right back my man,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/SrkianUmar/status/1627583902058684417', 'date': '2023-02-20T08:20:15+00:00', 'rawContent': '@iamsrk Khan sahab 2 words @KapilSharmaK9 ke liye bol do . #AskSRK  @iamsrk https://t.co/MrcpWA8oLB', 'renderedContent': '@iamsrk Khan sahab 2 words @KapilSharmaK9 ke liye bol do . #AskSRK  @iamsrk https://t.co/MrcpWA8oLB', 'id': 1627583902058684417, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'SrkianUmar', 'id': 934624057215127552, 'displayname': 'عمر شیخ', 'rawDescription': 'forever @iamsrk 🖤', 'renderedDescription': 'forever @iamsrk 🖤', 'descriptionLinks': None, 'verified': False, 'created': '2017-11-26T03:25:14+00:00', 'followersCount': 370, 'friendsCount': 111, 'statusesCount': 100776, 'favouritesCount': 2714, 'listedCount': 1, 'mediaCount': 2752, 'location': 'Beed Srk universe ', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1039727557128671232/wzrBRSGq_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/934624057215127552/1511667714', 'label': None, 'description': 'forever @iamsrk 🖤', 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/SrkianUmar'}, 'replyCount': 1, 'retweetCount': 15, 'likeCount': 75, 'quoteCount': 1, 'conversationId': 1627578899482947584, 'lang': 'hi', 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'sourceUrl': 'http://twitter.com/download/android', 'sourceLabel': 'Twitter for Android', 'links': None, 'media': [{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FpZW7PaWcAIokGu?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FpZW7PaWcAIokGu?format=jpg&name=orig', 'altText': None}], 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': 1627578899482947584, 'inReplyToUser': {'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}, 'mentionedUsers': [{'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'KapilSharmaK9', 'id': 1492538024, 'displayname': 'Kapil Sharma', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/KapilSharmaK9'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}], 'coordinates': None, 'place': None, 'hashtags': ['AskSRK'], 'cashtags': None, 'card': None, 'viewCount': 490998, 'vibe': None, 'content': '@iamsrk Khan sahab 2 words @KapilSharmaK9 ke liye bol do . #AskSRK  @iamsrk https://t.co/MrcpWA8oLB', 'outlinks': [], 'outlinksss': '', 'tcooutlinks': [], 'tcooutlinksss': '', 'username': 'SrkianUmar'}",Love ,Positive
,,,,Two films ,Neutral
2023-02-20 09:04:43+00:00,1.6275950910231265e+18,Wow thank u all,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/SumitJa12048264/status/1627585185989693440', 'date': '2023-02-20T08:25:22+00:00', 'rawContent': '#DontAskSRK kaisa laga humara clg😎🤘 @iamsrk  #AskSRK', 'renderedContent': '#DontAskSRK kaisa laga humara clg😎🤘 @iamsrk  #AskSRK', 'id': 1627585185989693440, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'SumitJa12048264', 'id': 1479334253070458880, 'displayname': 'Sumit Jagtap', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': '2022-01-07T06:09:24+00:00', 'followersCount': 9, 'friendsCount': 25, 'statusesCount': 58, 'favouritesCount': 56, 'listedCount': 0, 'mediaCount': 13, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1621765574618677248/vcsh0cYS_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1479334253070458880/1675494019', 'label': None, 'description': '', 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/SumitJa12048264'}, 'replyCount': 2, 'retweetCount': 49, 'likeCount': 384, 'quoteCount': 3, 'conversationId': 1627585185989693440, 'lang': 'tl', 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'sourceUrl': 'http://twitter.com/download/android', 'sourceLabel': 'Twitter for Android', 'links': None, 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': [{'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}], 'coordinates': None, 'place': None, 'hashtags': ['DontAskSRK', 'AskSRK'], 'cashtags': None, 'card': None, 'viewCount': 492660, 'vibe': None, 'content': '#DontAskSRK kaisa laga humara clg😎🤘 @iamsrk  #AskSRK', 'outlinks': [], 'outlinksss': '', 'tcooutlinks': [], 'tcooutlinksss': '', 'username': 'SumitJa12048264'}",expressing gratitude,Positive
2023-02-20 08:47:52+00:00,1.627590848191017e+18,Not yet but after I finish final shoot of Jawan and Dunki I will get back to it.,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/i_vivek2209/status/1627582309624053762', 'date': '2023-02-20T08:13:56+00:00', 'rawContent': '@iamsrk Did you finish writing your book? #AskSRK Love u', 'renderedContent': '@iamsrk Did you finish writing your book? #AskSRK Love u', 'id': 1627582309624053762, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'i_vivek2209', 'id': 1635244674, 'displayname': '| Vivek |', 'rawDescription': 'Die hard Shah Rukh Khan fan..!!! 🤘😎 KING replied me on 02 Feb. 2018.. TWICE.. & 20 Feb. 2023.. 😃', 'renderedDescription': 'Die hard Shah Rukh Khan fan..!!! 🤘😎 KING replied me on 02 Feb. 2018.. TWICE.. & 20 Feb. 2023.. 😃', 'descriptionLinks': None, 'verified': False, 'created': '2013-07-31T11:35:38+00:00', 'followersCount': 177, 'friendsCount': 65, 'statusesCount': 13616, 'favouritesCount': 849, 'listedCount': 3, 'mediaCount': 376, 'location': 'Mumbai, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/866942693297016833/06w5m-N4_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1635244674/1676883363', 'label': None, 'description': 'Die hard Shah Rukh Khan fan..!!! 🤘😎 KING replied me on 02 Feb. 2018.. TWICE.. & 20 Feb. 2023.. 😃', 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/i_vivek2209'}, 'replyCount': 4, 'retweetCount': 6, 'likeCount': 31, 'quoteCount': 2, 'conversationId': 1627581720739586048, 'lang': 'en', 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'sourceUrl': 'http://twitter.com/download/iphone', 'sourceLabel': 'Twitter for iPhone', 'links': None, 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': 1627581720739586048, 'inReplyToUser': {'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}, 'mentionedUsers': [{'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}], 'coordinates': None, 'place': None, 'hashtags': ['AskSRK'], 'cashtags': None, 'card': None, 'viewCount': 368276, 'vibe': None, 'content': '@iamsrk Did you finish writing your book? #AskSRK Love u', 'outlinks': [], 'outlinksss': '', 'tcooutlinks': [], 'tcooutlinksss': '', 'username': 'i_vivek2209'}",Final shoot ,Neutral
,,,,Making peace/compromise with a friend,undefined
2023-02-20 08:47:11+00:00,1.6275906770550456e+18,Gauri has the most simple heart and mind. She has just kept us all believing in the goodness of family and love,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/MirzaFaisal4SRK/status/1627582306964869120', 'date': '2023-02-20T08:13:55+00:00', 'rawContent': '@iamsrk what’s your secret of a good married life ? #askSRK', 'renderedContent': '@iamsrk what’s your secret of a good married life ? #askSRK', 'id': 1627582306964869120, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'MirzaFaisal4SRK', 'id': 1024634595822645250, 'displayname': 'Mirza Faisal SRKian', 'rawDescription': 'Jo kuch nahi karte Woh Kamal Karte Hain', 'renderedDescription': 'Jo kuch nahi karte Woh Kamal Karte Hain', 'descriptionLinks': None, 'verified': False, 'created': '2018-08-01T12:34:59+00:00', 'followersCount': 163, 'friendsCount': 344, 'statusesCount': 7157, 'favouritesCount': 3997, 'listedCount': 2, 'mediaCount': 1790, 'location': 'Maharashtra Nanded', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1529330139363889154/KZcbGASA_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1024634595822645250/1677331137', 'label': None, 'description': 'Jo kuch nahi karte Woh Kamal Karte Hain', 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/MirzaFaisal4SRK'}, 'replyCount': 2, 'retweetCount': 13, 'likeCount': 34, 'quoteCount': 1, 'conversationId': 1627578899482947584, 'lang': 'en', 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'sourceUrl': 'http://twitter.com/download/android', 'sourceLabel': 'Twitter for Android', 'links': None, 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': 1627578899482947584, 'inReplyToUser': {'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}, 'mentionedUsers': [{'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}], 'coordinates': None, 'place': None, 'hashtags': ['askSRK'], 'cashtags': None, 'card': None, 'viewCount': 420740, 'vibe': None, 'content': '@iamsrk what’s your secret of a good married life ? #askSRK', 'outlinks': [], 'outlinksss': '', 'tcooutlinks': [], 'tcooutlinksss': '', 'username': 'MirzaFaisal4SRK'}",Family Love ,Positive
,,,,Exaggeration ,Neutral
2023-02-20 08:43:35+00:00,1.6275897711566602e+18,Not just about #Pathaan 2 but every work of mine I will announce and say it to you guys personally. Please wait for me to tell you the truth not listen to stupid gossip!,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/Ind_RAM_/status/1627581673851457536', 'date': '2023-02-20T08:11:24+00:00', 'rawContent': '@iamsrk I guess I ask on behalf of the entire nation when I ask - Pathaan 2 kab ayega? 😁 #AskSRK', 'renderedContent': '@iamsrk I guess I ask on behalf of the entire nation when I ask - Pathaan 2 kab ayega? 😁 #AskSRK', 'id': 1627581673851457536, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'Ind_RAM_', 'id': 2744142699, 'displayname': 'INDツRAM 💙🇮🇳⚔️', 'rawDescription': '|मैं अकेला ही चला था जानिब-ए-मंज़िल मगर\nलोग साथ आते गए और कारवाँ बनता गया।|\n\n|INDIAN ARMY NATION FIRST |                      \n|🇮🇳 Proud to be an INDIAN 🇮🇳|', 'renderedDescription': '|मैं अकेला ही चला था जानिब-ए-मंज़िल मगर\nलोग साथ आते गए और कारवाँ बनता गया।|\n\n|INDIAN ARMY NATION FIRST |                      \n|🇮🇳 Proud to be an INDIAN 🇮🇳|', 'descriptionLinks': None, 'verified': False, 'created': '2014-08-16T04:34:39+00:00', 'followersCount': 2730, 'friendsCount': 798, 'statusesCount': 97456, 'favouritesCount': 95209, 'listedCount': 4, 'mediaCount': 4801, 'location': 'New Delhi, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1623905068021071872/stklYqYO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2744142699/1675587218', 'label': None, 'description': '|मैं अकेला ही चला था जानिब-ए-मंज़िल मगर\nलोग साथ आते गए और कारवाँ बनता गया।|\n\n|INDIAN ARMY NATION FIRST |                      \n|🇮🇳 Proud to be an INDIAN 🇮🇳|', 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/Ind_RAM_'}, 'replyCount': 21, 'retweetCount': 16, 'likeCount': 48, 'quoteCount': 3, 'conversationId': 1627578899482947584, 'lang': 'en', 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'sourceUrl': 'http://twitter.com/download/android', 'sourceLabel': 'Twitter for Android', 'links': None, 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': 1627578899482947584, 'inReplyToUser': {'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}, 'mentionedUsers': [{'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}], 'coordinates': None, 'place': None, 'hashtags': ['AskSRK'], 'cashtags': None, 'card': None, 'viewCount': 401808, 'vibe': None, 'content': '@iamsrk I guess I ask on behalf of the entire nation when I ask - Pathaan 2 kab ayega? 😁 #AskSRK', 'outlinks': [], 'outlinksss': '', 'tcooutlinks': [], 'tcooutlinksss': '', 'username': 'Ind_RAM_'}",Announcement ,Positive
,,,,"Clearing one""s mind ",Positive
,,,,Unknown ,Unknown
,,,,School,Positive
,,,,A new restaurant called Karma,Neutral
2023-02-20 08:34:54+00:00,1.6275875886170112e+18,I just sat at home and watched all films that I could to become an audience again and not be a movie maker.,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/Ba3world/status/1627581173873668097', 'date': '2023-02-20T08:09:25+00:00', 'rawContent': ""@iamsrk What's on your mind when u was taking a break like 3-4 years after ur previous film what changes did you felt? Is those sort of break is essential if s how effective it's for you @iamsrk #AskSRK #Pathaan #Jawan #Dunki"", 'renderedContent': ""@iamsrk What's on your mind when u was taking a break like 3-4 years after ur previous film what changes did you felt? Is those sort of break is essential if s how effective it's for you @iamsrk #AskSRK #Pathaan #Jawan #Dunki"", 'id': 1627581173873668097, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'Ba3world', 'id': 1307301536540704768, 'displayname': 'Ba3SEntrtainmnt', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': '2020-09-19T12:53:05+00:00', 'followersCount': 7, 'friendsCount': 373, 'statusesCount': 3, 'favouritesCount': 38906, 'listedCount': 0, 'mediaCount': 0, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1596762057268817920/ELI9G_tC_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1307301536540704768/1669532871', 'label': None, 'description': '', 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/Ba3world'}, 'replyCount': 3, 'retweetCount': 12, 'likeCount': 66, 'quoteCount': 2, 'conversationId': 1627578899482947584, 'lang': 'en', 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'sourceUrl': 'http://twitter.com/download/android', 'sourceLabel': 'Twitter for Android', 'links': None, 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': 1627578899482947584, 'inReplyToUser': {'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}, 'mentionedUsers': [{'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}], 'coordinates': None, 'place': None, 'hashtags': ['AskSRK', 'Pathaan', 'Jawan', 'Dunki'], 'cashtags': None, 'card': None, 'viewCount': 332985, 'vibe': None, 'content': ""@iamsrk What's on your mind when u was taking a break like 3-4 years after ur previous film what changes did you felt? Is those sort of break is essential if s how effective it's for you @iamsrk #AskSRK #Pathaan #Jawan #Dunki"", 'outlinks': [], 'outlinksss': '', 'tcooutlinks': [], 'tcooutlinksss': '', 'username': 'Ba3world'}",Watching Movies ,Positive
,,,,TV shows ,Neutral
