Prompt,Output
year since dobbs decision leaked three words mind night dare dare attack health care system fundamental rights freedom women america make decisions bodies,"[""Dobb's Decision"", 'Leaked', 'Freedom']"
two years president atjoebiden fought uphold protect fundamental freedoms american people stood together defending freedom democracy civil rights human rights women rights need finish job https co ke17wfxmlv,[]
mother would often say kamala may first many things make sure last know wont last https co 2evlghxnhe,"['mother,', 'would often say,', 'kamala.']"
must stand country foundational principles freedom liberty https co qiknlp5hk2,"['must,', 'stand,', 'country.']"
invest small businesses invest jobs opportunity innovation america,"['invest,', 'opportunity,', 'innovation.']"
congressional republicans want cut funding medicare social security president atjoebiden committed protecting essential programs,"['congressional', 'republican', 'cut', 'commited', 'protecting']"
states across nation extremist called leaders proposed passed laws ban abortion https co livs1xj14t,"['proposed', 'passed', 'ban']"
year dobbs decision leaked clear extremist called leadersas part national agendawant nationwide abortion ban https co tnedicw0bm,"['year', 'dobbs', 'leaked']"
extremist republicans attacking abortion access reproductive rights nationwide much stake fighting back tune speak leaders atemilyslist https co wbnyaaxfmg,"['extremisst,', 'republican,', 'attack.', 'Reproductive Rights,']"
first two years office president atjoebiden capped cost insulin seniors 35 monthcapped cost prescription medication 2 000 year seniorspassed law replace lead pipes throughout americaand getting started,"['capped cost,', 'prescription medication,', 'law.']"
small businesses backbone americas economy creativity hard work determination innovation create prosperity opportunity millions people helping shape future country https co j1flsmb8qt,[]
217 house republicans voted bill could cut 60 000 teaching jobsaffecting 25 million kids teachers children deserve better https co ktq3rgiokq,"['vote', 'republican', 'bill', 'could cut']"
president atjoebiden passed smart gun safety legislation first time 30 years congress must act ban assault weapons enact red flag laws require background checks,[]
america nation powered ambition aspiration people lead build future every american survives thrive https co fgun2lett9,[]
celebrate mothers today let forget nation maternal health crisis training doulas extending medicaid coverage postpartum care two months one year 31 states c made investments address crisis work must done,[]
mother shyamala gopalan two goals life raise two daughters end breast cancer forever grateful mothers love raise inspire us happy mothers day https co eyg2czx6w6,[]
record job growth largest investment climate action history manufacturing growing faster decades greatest two years small business creation record president atjoebiden delivering working families getting started https co oqizjriksk,"['record,', 'job growth,', 'climate action.', 'President Joe Biden,']"
since president atjoebiden took office seen record number new small business applications 10 5 million applications filed america seeing small business boom,[]
fighting women reproductive care personal breast cancer researcher mother fought women health rights dignity women health care system continue fight https co rhps1j1owd,[]
must build movement led roe v wade must move forward congress pass legislation would put protections roe v wade federal law https co kqdihvwb9e,"['movement,', 'Congress,', 'protections.']"
maga extremists agenda attack right woman make decisions body attack right vote ban books across 50 states fighting back,"['attack', 'right', 'woman', 'decisions', 'body']"
created 12 7 million new jobs thats jobs created two years weve office presidency created four,[]
teacher appreciation week every week im thankful americas teachers deserve thanks teachers go beyond job students every daythey deserve higher wages better working conditions,[]
unemployment 3 4 253 000 jobs created april clear economic agenda powered historic economic recovery,"['jobs created,', 'economic recovery', 'clear economic agenda.']"
teacher pay taxes billion dollar corporation passed 15 minimum tax rate nation largest corporations,[]
ban assault weapons enact red flag laws require background checks need leaders congress state legislatures nationwide courage act take action end gun violence,[]
since president atjoebiden took office seen record number small businesses created https co thcknetjsb,"['created,', 'record number,', 'president.']"
passed gun safety legislation first time 30 years moves ball forwardbut including banning assault weapons https co v15ou2vesw,"['passed,', 'first time', 'gun safety legislation', 'banning assault weapons.']"
first grade teacher mrs frances wilson attended law school graduation one many people contributed becoming vice president like many nation teachers sparked love learning made huge difference life https co zrzsxlnzss,"['attended,', 'graduation,', 'vice president.', 'Mr. Francis Wilson,']"
whoever loses wear winning teams jersey https co e6ku3h7vby,"['win,', 'jersey,', 'co.']"
pleasure stopping hr records dc celebrate small business week mingus ayers fitzgerald armstrongif know know https co kevtujmc7k,"['pleasure,', 'stopping,', 'records.']"
2020 voters sent atjoebiden white house 2022 able help defend reproductive rights state ballots california kentucky win races ballot 2024 lets finish job,"['defend reproductive rights,', 'white house 2022,', '2020 voters.']"
creativity tenacity determination small business owners help create prosperity opportunity millions people country https co 5vbqzu5akn,"['creativity,', 'tenacity', 'determination.']"
american people sent atjoebiden white house 2020 able cap cost insulin seniors 35 month thats huge,"['insulin', 'seniors', 'able']"
one fights harder build better future nation atjoebiden https co loykitgtfy,"['fight,', 'build', 'nation.']"
president atjoebiden continue fight ensure every aspiring small business owner nation opportunity survive thrive,"['fight,', 'ensure,', 'survive.']"
stand democracy freedom liberty justice equality firmly believe know stand know fight stake election,[]
let get done https co 2n0rocsjpk,"['let,', 'get done,', 'co.']"
stand rights freedoms democracy https co 6qd5uozomf,"['stand,', 'rights,', 'freedoms.']"
president atjoebiden continue fight create opportunity every community continue work build nation every person matter start opportunity survive thrive https co jmdrj0boij,"['fight,', 'create opportunity,', 'build.', 'survive']"
black women around country 3x likely die connection childbirth raising issue maternal health nationally putting resources training health care providers racial bias uplifting profession doulas,"['action,', 'likely,', 'dying', 'black women around country', 'action,', 'likely,', 'dying', 'likely,', 'dying']"
small business owners like mrs shelton community civic leaders https co om7wrjgjxp,"['community,', 'civic leaders,', 'small business owners.']"
free independent press essential democracy weekend doug honored attend white house correspondents dinner celebrating first amendment courage journalists around world https co xdbalrnvng,[]
stand right woman make decisions body https co awo1ht8dzt,"['stand,', 'right,', 'woman.']"
small business owners backbone america economy creativity tenacity determination help create prosperity opportunity millions people country https co ympsqpvdae,"['backbone,', 'America,', 'Creativity.', 'TenaCity.']"
moment us stand fight reproductive rights https co w90xdlt10m,"['stand,', ' and reproductive rights.']"
weve made largest climate investment americas historymore trillion dollars communities across nation,[]
making easier start grow small business thanks president bidens leadership last two years greatest years new small business applications record https co 8vt7owgyna,"['make', 'grow', 'start']"
one five americans knows someone died gun violence leaders congress must courage step pass commonsense gun safety laws,"['know,', 'someone died', 'gun violence leaders']"
inflation reduction act bipartisan infrastructure law chips science act investing 1 trillion building clean energy economy next 10 years,[]
proud run reelection president atjoebiden finish job https co x7un8gbekg,"['proposal,', 're-election,', 'president.']"
need federal legislation restore protections roe,"['restore,', 'protections,', 'roe.']"
parents met students marching justice civil rights movement best movements country expansion rights led students movement defend fundamental freedoms requires leadership https co vy0fwxvbx7,"['Parents', 'Met', 'Justice', 'Civil Rights', 'Movement']"
president atjoebiden continue fight protect womans freedom make decisions body access reproductive health care including medication abortion one stand woman doctor,[]
created jobs two years presidency created four unemployment near lowest rate 50 years economic plan working,"['created jobs,', 'president', 'economic plan.']"
leaders united states congress need courage stand gun lobby nra need reasonable gun safety laws,[]
president biden understand incredible challenges coastal communities face everything possible help fight back going invest 562 million fund climate resilient projects 149 coastal cities towns counties across america https co pvfsnco9pz,[]
stand right love openly stand right live free gun violence stand children rights learn america full history stand right woman make decisions body stand democracy https co bknzx9uvbt,[]
stand democracy much stake https co nwwnxsnxon,"['stand,', 'democracy,', 'much.']"
let clear one abandon faith deeply held beliefs agree government making decisions woman body https co i3ju3leept,"['agree,', 'government making decisions,', 'woman body.']"
maga extremists dare tell us best interests well say trust women america make decisions bodies,"['Maga', 'Extremists', 'Dare', 'Tell', 'Us']"
team hosting campaign strategy call mobilize supporters across country tune https co ymmeegwzfk,"['campaign,', 'strategy,', 'mobilize.']"
extremist called leaders national agenda agenda attacking woman right make decisions body attacking right freedom express voice vote ballot box banning books sleep https co jhh6ojoiog,[]
tonight 6 45pm et team hosting virtual strategy call mobilize supporters nationwide join us help finish job american people https co gfau15ns7a https co b9s07aemct,[]
fundamental freedoms attack country country tradition fight freedom fight rights,"['fight,', 'rights', 'country.']"
know stand know fight https co w2ondxc9bi,"['know,', 'stand,', 'fight.']"
weve helped create 12 million jobs lowered prescription drug costs taken largest action fight climate change american history time build progress finish job thats atjoebiden running reelection,[]
called leaders lining take away bedrock freedoms gutting social security cutting taxes rich atjoebiden different view,"['Leaders', 'Gutt', 'to gut', 'Brock', 'to break', 'Freedoms']"
president atjoebiden bold agenda need finish job want make economy work families like backbone country thats running reelection https co kwq0ygaofx,[]
moment stand democracy fundamental freedoms going take us pitch help power campaign reelect atjoebiden https co trsfmtp0hb,"['democracy,', 'fundamental freedoms,', 'power.']"
maga extremists want take away womens health care decisions control books kids read schools tell love thats atjoebiden says battle soul nation thats running reelection,"['main idea', 'sentiment', 'mentioned name', 'control books', 'schools']"
campaign powered people talking friends family neighbors whats stake atjoebiden need us get started https co siioehcxpr https co m2frq6j1ab,"['campaign,', 'powered,', 'need.']"
