Prompt,Output
play,"['play', 'play', 'play', 'play']"
next season,"['next season', 'next season', 'next season', 'next season', 'next season']"
award,"['Name', 'Address', ""Today's Date"", 'Reading', 'Writing', 'Music', 'Destination', 'Traveling', 'Food', 'Dining', 'Health', 'Fitness']"
year,"['year', 'year', 'year', 'year', 'year', 'year', 'year']"
lionel messi,"['I am a student at the University of Oxford.', 'I am currently studying for my exams.', 'I enjoy reading, playing the piano and painting.', 'I enjoy watching movies and listening to music.', 'I have traveled to Paris, France and New York City.', 'I love trying new cuisines and experimenting with different flavors.', 'I exercise regularly to maintain my physical health.']"
league goals,['league goals']
co wu0l8llz98,['co wu0l8llz98']
goals,"['goals', 'goals']"
nan,"['nan', 'nan', 'nan']"
new shoes,"['new shoes', 'new shoes', 'new shoes', 'new shoes', 'new shoes', 'new shoes', 'new shoes']"
atadidasfotball,"['ata', 'Personal Information']"
atadidasuk,[]
messi,"['messi', 'messi']"
best goal ever scored,['What was your best goal ever scored?']
messi,"['messi', 'messi']"
playmaker,"['playmaker', 'playmaker', 'playmaker', 'playmaker']"
scorer,"['scorer', 'scorer', 'scorer', 'scorer', 'scorer', 'scorer', 'scorer']"
best,"['best', 'best', 'best', 'best', 'best']"
best,"['best', 'best']"
goal,"['goal', 'goal']"
ever,[]
messi,"['messi', 'messi']"
co,[]
s78v7fnanm,"['My name is [Name], and I am a student at the University of [University Name]. I am majoring in Business and Economics.', 'I am currently studying for my final exam.', 'I enjoy reading, playing the guitar and listening to music.', 'I enjoy watching movies, playing video games and listening to podcasts.', 'I am planning to visit my grandparents in [City] next weekend.']"
relevance,[]
sportbible,['spoortbible']
messi,"['messi', 'messi']"
messi,"['messi', 'messi']"
history,"['history', 'I am interested in learning about the history of different cultures and societies.', 'I am currently reading about the history of World War II.', 'I enjoy reading about history, especially ancient civilizations.', 'I love watching historical dramas on TV.', 'I am planning a trip to Europe next summer, where I want to visit historical landmarks.']"
netted,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's been challenging, but I'm enjoying the process."", 'I enjoy reading, playing guitar and piano. I also like hiking in the mountains.', 'I enjoy watching movies, playing video games and listening to music.', ""I'm planning to visit Paris next summer. I've always wanted to go there.""]"
saturated,['saturated.']
nan,"['nan', 'nan', 'nan']"
ranked number 1,"['ranked number 1', 'ranked number 1', 'Personal Information']"
fifa rankings messi,"['Classify the following words into one of these categories: Personal Information, Current Events, Hobbies and Interests, Entertainment, Travel, Food and Dining, Health and Fitness, Relationships, Work and Career, Education, Culture and Society, Sports and Recreation, Personal Growth and Development, Fashion and Style, Home and Family, Technology and Gadgets, Art and Creativity, Pets and Animals, Philosophy and Ethics, Nature and Environment.', 'Classify the following words into one of these categories: Personal Information, Current Events.']"
co pxhdfxux85,"['Name', 'Address', ""Today's Date"", 'Reading', 'Writing', 'Music', 'Destination', 'Travel Dates', 'Favorite Foods', 'Dietary Restrictions', 'Exercise', 'Health Goals']"
nan,"['nan', 'nan', 'nan']"
hug,"['hug', 'hug']"
kissed,"['kissed', 'kissed']"
even,"['even', 'even', 'even a small amount', 'the even numbers are odd.', 'the even-tempered person', 'an even number of people.', 'even', 'the even numbers']"
alex,[]
showed much great man,['shown much great man']
respect,"['respect', 'respect']"
coach,"['coach', 'coach']"
football,['football']
love,"['love', 'love']"
return,"['return', 'return']"
topic,"['My name is [Name], and I am a student at XYZ University. What is your name?', 'The latest news is that the world has been hit by a major natural disaster. The government has declared an emergency and is working to provide relief efforts.', 'I enjoy reading, playing the guitar and painting. What are your hobbies?', 'I love watching movies, playing video games and listening to music. What do you enjoy doing in your free time?']"
nan,"['nan', 'nan', 'nan']"
nan,"['nan', 'nan', 'nan']"
follow,"['follow', 'follow']"
like,"['like', 'like']"
retweet,"['Classify the following words into one of the categories: Personal Information, Current Events, Hobbies and Interests, Entertainment, Travel, Food and Dining, Health and Fitness, Relationships, Work and Career, Education, Culture and Society, Sports and Recreation, Personal Growth and Development, Fashion and Style, Home and Family, Technology and Gadgets, Art and Creativity, Pets and Animals, Philosophy and Ethics, Nature and Environment.', 'Classify the following words into one of the categories: Personal Information, Current Events.']"
nan,"['nan', 'nan', 'nan']"
scored,"['Name,', 'Address', ""New Year's Eve,"", 'World War II', 'Reading,', 'Music', 'Watching TV,', 'Listening to Music', 'Paris,', 'New York', 'Italian,', 'Indian', 'Exercise,', 'Healthy Foods', 'Friends,', 'Family', 'Job,', 'Education']"
800th,"['My name is [Name] and I am a student at the University of [University Name].', 'I am currently studying for my final exams.', 'I enjoy reading, playing video games and listening to music.', 'I enjoy watching movies, playing sports and going to concerts.', 'I have traveled to [number] places in my lifetime.', 'I love trying new cuisines and experimenting with different flavors.']"
top level goal,"['top level goal', 'top level goal', 'top level goal']"
argentina,"['ingenia', 'ingenia', 'skill, talent or ability.', 'Personal Information']"
beat,"['beat', 'beat', 'beat', 'beat', 'beat']"
captivation,['captivation.']
needed,['needed.']
co dojex6bx2q,"['co dojex6bx2q', 'co dojex6bx2q', 'co dojex6bx2q', 'co dojex6bx2q', 'co dojex6bx2q', 'co dojex6bx2q', 'co dojex6bx2q']"
messi,"['messi', 'messi']"
10ronaldi,"['My name is [Name] and I am a student at the University of [University Name]. I am majoring in Business and Economics.', 'I am currently studying for the final exam of my semester.', 'I enjoy reading, playing video games and watching movies.', 'I enjoy going to the movies, watching TV shows and listening to music.', 'I have been to [number] places in my lifetime, including Paris and New York.']"
happened,"['happened.', 'to happen', 'Current Events.']"
ugly,"['ugly.', 'ugly']"
didnt,"[""didn't"", ""didn't"", 'did', ""didn't""]"
nan,"['nan', 'nan', 'nan']"
leave,[]
stint,"['Name', 'Address', 'World News', 'Sports', 'Reading', 'Music', 'History', 'Science', 'Art', 'TV Shows', 'Movie Trailers', 'Destinations', 'Travel Guides', 'Italian Cuisine', 'Mexican Food', 'Italian Cuisine', 'Mexican Food', 'Exercise']"
frenemy,"['frenemy.', 'Relationship.']"
ranked,[]
third spot,"['third spot', 'third spot', 'third spot', 'third spot', 'third spot']"
behind,"['behind', 'behind']"
officiall,"['Name', 'Address', 'Phone Number', ""Today's Date"", 'Weather Forecast', 'Reading', 'Writing', 'Favorite TV Shows', 'Movie List', 'Destination', 'Travel Tips', 'Favorite Restaurants', 'Coffee Shop', 'Exercise Routine', 'Healthy Habits', 'Best Friend', 'Family Member']"
messi,"['messi', 'messi']"
would,"['What is your name?', 'What is the current event in your country?', 'What are your hobbies?', 'What is your favorite type of entertainment?', 'Where have you traveled to?', 'What is your favorite type of food?', 'What is your favorite type of exercise?', 'What is your favorite type of relationship?']"
would,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's been challenging but rewarding."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows, especially comedies.', 'I have been to several places in Europe and Asia. I would love to visit more countries in the future.']"
nan,"['nan', 'nan', 'nan']"
messi expected win fifa mens best player award ahead krzysztof kuchta,[]
messi whose tremendous performances helped argentina triumph first time since 1986,"['messi', 'messi', 'messi']"
messi,"['messi', 'messi']"
whose performances world cup helped argentina triumph first time since 1986,"['whose performances world cup helped Argentina triumph first time since 1986?', ""Diego Maradona's performances in the 1990 FIFA World Cup helped Argentina triumph first time since 1986, leading to their victory in the 1994 FIFA World Cup Final.""]"
favorite,[]
win,"['win', 'win']"
top 3,"['My name is [Name], and I am a student at XYZ University. What is your name?', ""I'm sorry, I don't have the current events. Can you tell me what's happening in the world?"", 'I enjoy reading, playing the guitar and painting. What are your hobbies?', 'I love watching movies, playing video games and listening to music. What do you enjoy doing in your free time?']"
top 3,"['My name is [Name], and I am a student at XYZ University. What is your name?', 'The world is currently experiencing a pandemic, and many people are staying at home to prevent the spread of COVID-19. This has had a significant impact on the global economy and society.', 'I enjoy reading, playing the piano and guitar, hiking in nature, watching movies with my friends and family.']"
202,"['Name', 'Address', 'World News', 'Sports Scores', 'Reading', 'Music', 'TV Shows', 'Movie Trailers', 'Destinations', 'Travel Guides', 'Italian Cuisine', 'Mexican Food', 'Exercise', 'Healthy Habits', 'Family', 'Romance', 'Job Interviews']"
fifa8,"['My name is [Name], and I am a student at the University of [University Name].', 'I am currently studying for my exams.', 'I enjoy reading, playing video games and listening to music.', 'I enjoy watching movies, playing sports and listening to live music.', 'I have traveled to [City], and I loved the food, culture and people there.', 'I love trying new cuisines and restaurants.']"
training,"['Training', 'Training', 'Training']"
co,"['co', 'co', 'co']"
zljx4ovmle,[]
barcelo,"['barcelo', 'barcelo', 'barcelo']"
co,"['co', 'co', 'come over.']"
rbiq61gyt,[]
champions league,"['champions league', 'champions league', 'champions league', 'champions league', 'champions league']"
uefa champions league,"['uefa champions league', 'uefa champions league', 'uefa champions league', 'uefa champions league']"
psg vs bayer leverkusen,[]
nan,"['nan', 'nan', 'nan']"
touch control,['touch control.']
messi real,"['messi real', 'messi real', 'Sports and Recreation.']"
unbelievable,"['My name is [Name] and I am a student at the University of [University Name].', 'I am currently studying for my exams.', 'I enjoy reading, playing video games and watching movies.', 'I love listening to music and watching TV shows.', 'I have traveled to [City] and I loved it.', 'I love trying new cuisines and restaurants.']"
nan,"['nan', 'nan', 'nan']"
another day,"['another day', 'another day', 'another day', 'another day', 'another day']"
goal,"['goal', 'goal']"
3zkhox41ep,"['3zkhox41ep', '3zkhox41ep']"
friends,"['friends', 'friends']"
co,"['co', 'co', 'co']"
 ,"['Name', 'Address', 'World News', 'Sports Scores', 'Reading', 'Music', 'TV Shows', 'Movie Trailers', 'Destinations', 'Travel Guides', 'Italian Cuisine', 'Mexican Food', 'Exercise', 'Healthy Recipes', 'Family', 'Romance Novels']"
messi,"['messi', 'messi']"
psg,[]
co,"['co', 'co', 'co']"
days,['days']
time,"['time', 'time']"
 ,"['Name', 'Address', ""New Year's Eve"", 'World War II', 'Reading', 'Music', 'Watching TV', 'Listening to Music', 'Europe', 'Hawaii', 'Italian', 'Indian Cuisine', 'Exercise', 'Meditation', 'Married', 'Friend', 'Teacher']"
 ,"['Name', 'Address', 'World News', 'Sports Scores', 'Reading', 'Music', 'Movie Trailers', 'TV Shows', 'Destinations', 'Travel Guides', 'Italian Cuisine', 'Indian Food', 'Exercise Routine', 'Healthy Recipes', 'Marriage', 'Friendship', 'Job Interview']"
left foot,[]
immortalized,"['immortalized.', 'immortalized']"
golden cast,"['golden cast', 'golden cast', 'golden cast', 'golden cast']"
good,"['good', 'good']"
reunion,[]
co,"['co', 'co', 'co']"
messi,"['messi', 'messi']"
cristiano ronaldo,[]
messi vs,[]
nan,"['nan', 'nan', 'nan']"
beautiful,['beautiful']
madness,"['madness', 'madness']"
lifting,['lifting']
obviously champions,"['obviously', 'obviously']"
makes everything beautiful,"['makes', 'everything', 'beautiful', 'makes']"
bull,"['bull', 'bull']"
messi,"['messi', 'messi']"
ronaldo,[]
messi rnaldo,"['messi rnaldo', 'messi rnaldo', 'messi rnaldo', 'messi rnaldo', 'messi rnaldo', 'messi rnaldo']"
messi,"['messi', 'messi', 'messi', 'messi']"
ronaldo,[]
world class,"['world class.', 'world class.']"
messi vs angers,[]
co,"['co', 'co']"
nan,"['nan', 'nan', 'nan']"
fair chance,"['fair chance', 'fair chance', 'Current Events.']"
equal opportunity,"['equal opportunity.', 'equal opportunity']"
education,[]
ibrahim,[]
beat,"['beat', 'beat']"
anyone,"['anyon', 'anyon']"
co,"['co', 'co', 'company']"
messi,"['messi', 'messi']"
5mf1bfiwv,['5mf1bfiwv']
19 years old,['Personal Information']
achievement,[]
messi,"['messi', 'messi']"
co,"['co', 'co', 'co']"
friendship,"['friendship', 'friendship']"
messi,"['messi', 'messi']"
atniymarjr,[]
honour,"['honour', 'honour', 'honour']"
messi,"['messi', 'messi']"
guard,"['guard.', 'guard', 'guard', 'guard', 'guard', 'guard']"
gracias,"['gracias', 'gracias', 'Personal Information']"
personas del club,"['Personas del club', 'Personas del club', 'Personas del club', 'Personas del club', 'Personas del club', 'Personas del club', 'Personas del club', 'Personas del club', 'Personas del club', 'Personas del club']"
regreso,[]
segn,"['segn', 'segn', 'segn']"
family,[]
co,"['co', 'co']"
v3xyhgnwz1,['v3xyhgnwz1']
cohrence,['cohrence']
un abrazo enorme,"['un abrazo enorme', 'la pandemia del COVID-19 está causando una gran impacto en la sociedad', 'mi hobby favorito es la lectura', 'me gusta ver películas y series']"
todos,[]
abraco,"['abraca', 'abraca']"
todos,[]
ciudades,"['My name is [Name] and I am a student at the University of [University Name]. I am majoring in [Major] and my GPA is currently 3.5.', 'I am currently studying for my final exam and I have a test on Monday. The weather forecast for the weekend is sunny and warm.', 'I enjoy playing soccer, reading books and listening to music.', 'I am interested in [Topic] and I enjoy learning about it.']"
ojal,"['Name', 'Age', ""What's new in the world?"", 'The latest news', 'Reading, writing, painting', 'Watching movies, listening to music', 'Going on a trip to Paris, visiting the Grand Canyon', 'Eating sushi, trying new recipes', 'Exercising, eating healthy']"
felies,"['fely', 'fely']"
seguir,"['seguir', 'seguir', 'seguir', 'seguir', 'seguir', 'seguir', 'seguir', 'seguir', 'seguir', 'seguir']"
202,"['Name', 'Address', 'World News', 'Sports Scores', 'Reading', 'Music', 'Movie Trailers', 'TV Shows', 'Destinations', 'Hotels', 'Italian Cuisine', 'Indian Food', 'Exercise', 'Healthy Foods', 'Marriage', 'Family', 'Job Interview']"
maravilloso,[]
relevante,"['Name', 'Address', ""New Year's Eve"", 'World War II', 'Reading', 'Music', 'Watching TV', 'Listening to Music', 'Europe', 'Hawaii', 'Italian', 'Indian Cuisine', 'Exercise', 'Meditation', 'Friends', 'Family', 'Salesman']"
sentimiento,['senti-miento']
nombre,"['Name,', 'Address', 'World News,', 'Sports Scores', 'Reading,', 'Music', 'TV Shows,', 'Movie Trailers', 'Destinations,', 'Travel Guides', 'Italian Cuisine,', 'Mexican Food', 'Exercise,', 'Healthy Recipes', 'Family,', 'Romance Novels']"
terminar,['terminator.']
persuadir,"['persuadir', 'persuadir', 'persuadir', 'persuadir', 'persuadir']"
compartir,[]
descansa,[]
pel,"['pel', 'pel']"
co,"['co', 'co', 'co']"
nan,"['nan', 'nan', 'nan']"
family,[]
messi,"['messi', 'messi']"
co,"['co', 'co', 'company', 'Company']"
celebrate,"['celebrate', 'celebrate']"
worldcupqatar202 2,['worldcupqatar202']
messi,"['messi', 'messi', 'messi', 'messi', 'messi', 'messi', 'messi']"
nan,"['nan', 'nan', 'nan']"
done,"['Name,', 'Address', ""Today's date,"", 'Weather forecast', 'Reading,', 'Music', 'Watching TV,', 'Listening to music', 'Going on a trip,', 'Traveling to new places', 'Eating out,', 'Cooking at home', 'Exercising,', 'Healthy eating', 'Talking to a friend,', 'Building relationships']"
goat,"['good', 'good']"
debate,"['I am a student at XYZ University. I study English and History.', ""I am currently working on a project for my internship. It's going well so far."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows.', 'I am planning a trip to Europe next summer.', 'I love trying new cuisines and experimenting with different flavors.']"
nan,"['nan', 'nan', 'nan']"
worldcup,"['worldcup', 'worldcup']"
back,"['back', 'back']"
success,[]
enjoy,"['enjoy', 'enjoy']"
national team,['national team']
world champion,"['world champion.', 'World champion is a term used to describe an athlete who has won the most prestigious and coveted title in their field. It is often used to describe a person who has achieved great success in their career, such as a professional athlete or an Olympic gold medalist.']"
nan,"['nan', 'nan', 'nan']"
honour,"['honour', 'honour', 'honour']"
argentina,"['largegeninna', 'largegeninna', 'largegeninna']"
messi,"['messi', 'messi']"
goa,"['I am a student at the University of California, Berkeley.', 'I am currently studying for my final exams.', 'I enjoy reading, hiking in the mountains and spending time with my family.', 'I enjoy watching movies, listening to music and playing video games.', 'I have traveled to several countries in Europe and Asia.', 'I love trying new cuisines and experimenting with different flavors.']"
done,[]
anyone,"['anyon', 'anyon', 'anyon']"
nan,"['nan', 'nan', 'nan']"
imagining,"['imagining', 'imagining']"
waking like messi world cup,"['Classifying the words into one of these categories: Personal Information - ', 'Classifying the words into one of these categories: Personal Information - ', 'Classifying the words into one of these categories: Personal Information - ', 'Classifying the words into one of these categories: Personal Information - ']"
argentina,"['ingenia', 'ingenia']"
celebration,"['celebration', 'Culture and Society.']"
welcome,[]
messi,"['messi', 'messi']"
first person,['Minecraft.']
assist goal,['assist goal.']
five different world cups,[]
nan,"['nan', 'nan', 'nan']"
record,"['record', 'record']"
made,"['made', 'made']"
messi,"['messi', 'messi']"
messi,"['messi', 'messi']"
involved,"['involved', 'involved']"
made,"['made', 'made']"
nan,"['nan', 'nan', 'nan']"
replicate,['replicate']
pose,['pose']
diego maradona,[]
nan,"['nan', 'nan', 'nan']"
worldcup,"['worldcup', 'worldcup']"
glee,"['Name', 'Address', 'Phone Number', 'Current President of the United States', 'Latest Sports Event', 'Reading', 'Writing', 'Watching Movies', 'Listening to Music', 'Traveling to Europe', 'Visiting the Grand Canyon', 'Italian Cuisine', 'Sushi', 'Exercise', 'Meditation', 'Friendship']"
argentina,['largegenina']
nan,"['nan', 'nan', 'nan']"
