Prompt,Output
cpco,"['cpc', 'cpc', 'cpc']"
follow,"['follow', 'follow']"
like,[]
retweet,"[""I'm sorry, I don't have enough information to answer that question."", ""I'm not sure, what's going on in the news right now?"", 'I like to read, watch movies and play video games.', 'I love to watch TV shows and movies, especially action-adventure ones.', 'I love to travel and explore new places.', 'I love trying new cuisines and experimenting with different flavors.']"
love,"['love', 'love']"
happy,"['happy', 'happy']"
awesome,"['awesome', 'awesome']"
enough,"['enough', 'enough']"
spend,"['Name,', 'Address', 'World Cup,', 'Election Day', 'Reading,', 'Music', 'Watching TV,', 'Listening to Music', 'Europe,', 'Hawaii', 'Italian,', 'Indian Cuisine', 'Exercise,', 'Healthy Habits', 'Friends,', 'Family', 'Job,']"
portuugees,"['I am a student at the University of Toronto. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's exciting to see it come together."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows, especially comedies.', 'I have always wanted to visit Paris, France. I am saving up for a trip next summer.']"
forever,"['Name', 'Address', 'World News', 'Sports Scores', 'Reading', 'Music', 'TV Shows', 'Movie Trailers', 'Destinations', 'Travel Guides', 'Italian Cuisine', 'Mexican Food', 'Exercise', 'Healthy Foods', 'Marriage', 'Family', 'Job Interviews']"
life,"['life', 'life']"
never stop,[]
protecting,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's exciting to see it come together."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows.', ""I am planning a trip to Europe next summer. I can't wait!""]"
never stop,[]
holding,"['holding', 'holding']"
beloved,"['I am a student at the University of California, Berkeley. I am majoring in Computer Science and minoring in Artificial Intelligence.', 'I am currently working on a project for my internship. It involves analyzing data from a social media platform.', 'I enjoy playing video games, reading books and watching movies.', 'I enjoy watching TV shows and movies, listening to music.', 'I have traveled to several countries in Europe and Asia.']"
squish,"['squish', 'squish']"
heart,"['heart', 'heart']"
justice,[]
world tour,"['world tour', 'world tour', 'Travel']"
tour,"['Name,', 'Address', 'World News,', 'Sports Scores', 'Reading,', 'Music', 'TV Shows,', 'Movie Trailers', 'Destinations,', 'Travel Guides', 'Italian Cuisine,', 'Indian Street Food', 'Exercise Routine,', 'Healthy Recipes', 'Family,', 'Romantic Partners']"
love,"['love', 'love']"
happy,"['happy', 'happy']"
awesome,['awesome']
amazing,['amaziing']
handsome,['handsome.']
special,['special']
attempt,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's exciting to see it come together."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows, especially comedies.', ""I'm planning a trip to Europe next summer. I can't wait!""]"
happening,"['My name is [Name] and I am a student at XYZ University. What is your name and where do you study?', 'I am currently studying for my final exam. What are your plans after graduation?', 'I enjoy reading, playing the guitar and spending time with my family. What are your hobbies and interests?', 'I enjoy watching movies, playing video games and listening to music. What do you enjoy doing in your free time?']"
nov 20,"['Name', 'Address', 'World News', 'Sports Scores']"
atdrewhouse,[]
co rgmijherpt,"['co rgmijh', 'co rgmijh', 'co rgmijh', 'co rgmijh', 'co rgmijh', 'co rgmijh', 'co rgmijh', 'co rgmijh', 'co rgmijh']"
co rgmijherp,"['My name is [Name] and I am a student at the University of [University Name]. I am majoring in [Major] and my GPA is 3.5.', 'I am currently studying for my final exams and I have a test on [Date].', 'I enjoy reading, playing video games and watching movies.', 'I love going to the movies and watching TV shows.', 'I have traveled to [City] and I loved it.']"
lonelily,"[""My name is [Name], and I'm a student at XYZ University. What's your name?"", ""I'm excited to see what the future holds for us. What are your plans?"", 'I enjoy reading, playing guitar and painting. What do you like to read?', 'I love watching movies and TV shows. What do you like to watch?', ""I've always wanted to visit Paris. What's your dream vacation?""]"
atbrysontiller,[]
atpoobear,['atpoobear']
ready,[]
co,"['co', 'co']"
ui,"['Name,', 'Address', ""New Year's Eve,"", 'Election Day', 'Reading,', 'Writing', 'Watching TV,', 'Listening to Music', 'Paris,', 'Machu Picchu', 'Italian,', 'Indian Cuisine', 'Exercise,', 'Healthy Habits', 'Friendship,', 'Family']"
atro,"['atro', 'atro', 'toad', 'atrocious.', 'atrocious villain.', 'atro']"
co,"['co', 'co']"
 ,"['Name', 'Address', ""New Year's Eve"", 'World War II', 'Reading', 'Music', 'Watching TV', 'Listening to Music', 'Paris', 'New York', 'Italian', 'Indian', 'Exercise', 'Healthy Eating', 'Friends', 'Family', 'Salesman']"
joufcwne7w,[]
great,[]
boy,"['boy', 'boy']"
 ,"['Name,', 'Address', 'World News,', 'Sports Scores', 'Reading,', 'Music', 'TV Shows,', 'Movie Trailers', 'Destinations,', 'Travel Tips', 'Italian Cuisine,', 'Mexican Food', 'Exercise,', 'Healthy Recipes', 'Family,', 'Romance', 'Job Interviews,']"
atsam tompkins,['atsaam tompkins']
action,['action']
heroic,"['I am a student at XYZ University. I enjoy studying and learning new things.', 'I am currently working on a project for my class.', 'I enjoy reading, playing video games and listening to music.', 'I enjoy watching movies, playing sports and listening to podcasts.', 'I am planning a trip to Europe next summer.', 'I love trying new cuisines and experimenting with different recipes.']"
war,['war']
atro,"['atro', 'The prompt is asking for a classification of the word ', ' into one of the categories listed. The response is ', 'atro', 'The prompt is asking for a classification of the word ', ' into one of the categories listed. The response is ', 'atro']"
ramer,"['ramer', 'ramer', 'ramer']"
co,"['co', 'co']"
attempt,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's been challenging, but I'm enjoying the process."", 'I enjoy reading, playing guitar and listening to music. I also enjoy spending time outdoors and hiking.', 'I love watching movies and TV shows, especially comedies. I also enjoy playing video games and spending time with friends.']"
achievement,[]
join,['join']
get,"['get', 'get', 'I need to get a new phone.', 'I need to get more information about this topic.', 'I need to get more skilled in this area.']"
justiceworldtour,['justiceworldtour']
supply,['supply.']
part 2,"['My name is [Name], and I am a student at the University of [University Name]. I am majoring in Business and Economics.', 'I am currently studying for my final exams. I have a midterm next week and an important final project due in a few weeks.', 'I enjoy reading, playing video games and watching movies. I also enjoy hiking, camping in the summer and skiing during winter.', 'I enjoy watching TV shows, listening to music and playing online games.']"
atrophy,['atrophy']
co,"['co', 'co', 'come over.']"
part 1,"['My name is [Name], and I am a student at the University of [University Name]. I am majoring in [Major] and have a GPA of 3.5.', 'I am currently studying for my final exam, and I have a test on [Date].', 'I enjoy reading, playing video games and watching movies. I also like hiking, camping in the woods and fishing.', 'I enjoy watching TV shows, listening to music and playing online games.']"
co,"['co', 'co']"
c4lxlfarcr,"['My name is [Name], and I am a student at the University of [University Name].', 'I am currently studying for my exams.', 'I enjoy reading, playing video games and watching movies.', 'I enjoy going to the movies and watching TV shows.', 'I have traveled to [City] and I loved it.', 'I love trying new cuisines and restaurants.']"
love,"['love', 'love']"
happy,"['happy', 'happy']"
happily,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's been challenging but rewarding."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows, especially comedies.', 'I have been to several places in Europe and Asia. It was an amazing experience.']"
hi,[]
bye,[]
 ,"['Name,', 'Address', 'World News,', 'Sports Scores', 'Reading,', 'Music', 'Movie,', 'TV Show', 'Paris,', 'New York', 'Italian,', 'Indian Cuisine', 'Exercise,', 'Healthy Foods', 'Friend,', 'Family', 'Job,', 'Education']"
love,"['love', 'love', 'love', 'love', 'love', 'love', 'love']"
see,"['see', 'see']"
atkanyewest,[]
see,"['see', 'see']"
live,"['live', 'live']"
atthewavexr,"['I am a student at XYZ University.', 'I am currently studying for my exams.', 'I enjoy reading, playing video games and listening to music.', 'I enjoy watching movies and TV shows.', 'I am planning a trip to Europe next summer.', 'I love trying new cuisines and experimenting with different flavors.', 'I exercise regularly to maintain my physical health.']"
see,"['see', 'see']"
live,"['live', 'live']"
atthewavexr,"['I am a student at the University of California, Berkeley.', 'I am currently studying for my final exams.', 'I enjoy reading, playing video games and listening to music.', 'I enjoy watching movies and TV shows.', 'I have traveled to several countries in Europe and Asia.', 'I love trying new cuisines and experimenting with different flavors.', 'I exercise regularly to maintain my physical health.']"
nan,"['nan', 'nan', 'nan']"
justice,"['justice', 'justice']"
world tour 2022,"['I am excited to embark on a world tour in 2022. I have always been fascinated by traveling and experiencing new cultures. I am looking forward to visiting different countries and learning about their customs, traditions, and way of life.', ""I am currently reading about the 2022 FIFA World Cup in Russia. It's a big event that will bring together football fans from all over the world. I am looking forward to watching it live and cheering on my favorite teams.""]"
international tickets sale,['international tickets sale.']
love,"['love', 'love']"
brother,"['brother', 'brother']"
atsu,"[""My name is Atsushi, and I'm a student at the University of Tokyo."", ""I'm currently studying for my exams."", 'I enjoy playing video games, reading manga and watching anime.', 'I love listening to music and watching movies.', ""I've traveled to Japan, China and Europe."", 'I love trying new Japanese dishes.', 'I exercise regularly to maintain my health.']"
thanks,"['Name', 'Address', ""Today's date"", 'Reading, writing', 'Watching movies, playing video games', 'Going on a trip to visit family', 'Eating out, cooking at home', 'Exercising, eating healthy', 'Talking to my partner, spending time with friends']"
atdavechappelle,[]
night,"['night', 'night', 'night', 'night', 'night', 'night', 'night']"
sign,"['sign', 'sign']"
atthewavexr,"['I am a student at XYZ University.', 'I am currently studying for my exams.', 'I enjoy reading, playing video games and listening to music.', 'I enjoy watching movies and TV shows.', 'I am planning a trip to Europe next summer.', 'I love trying new cuisines and experimenting with different flavors.', 'I exercise regularly to maintain my physical health.']"
co,"['co', 'co', 'company']"
nan,"['nan', 'nan', 'nan']"
atro,"['atro', ""The prompt asks for a classification of the word 'atro' into one of several categories. The response is "", ""The prompt asks for a classification of the word 'atro' into one of several categories. The response is ""]"
co2l3zvxsizn,['co2l3zvxsizn']
2l3zvxsizn,[]
atro,"['atro', 'atro']"
ramer,"['ramer', 'ramer']"
co,"['co', 'co']"
atro,"['atro', 'The prompt is asking for a classification of the word ', ' into one of several categories. The response is ', 'atro', 'The prompt is asking for a classification of the word ', ' into one of several categories. The response is ', 'atro', 'The prompt is asking for a classification of the word ']"
ramer,"['ramer', 'ramer', 'ramer']"
co,"['co', 'co']"
atro,"['atro', 'The prompt is asking for a classification of the word ', ' into one of several categories. The response is ', 'atro', 'The prompt is asking for a classification of the word ', ' into one of several categories. The response is ', 'atro', 'The prompt is asking for a classification of the word ']"
plmv0thfug,"['plmv0thfug', 'plmv0thfug', 'plmv0thfug', 'plmv0thfug', 'plmv0thfug', 'plmv0thfug', 'plmv0thfug', 'plmv0thfug']"
co,"['co', 'co', 'company']"
atro,['atro']
co,"['co', 'co', 'co']"
whebq,"['whebq', 'whebq', 'whebq', 'whebq', 'whebq', 'whebq', 'whebq', 'whebq', 'whebq', 'whebq', 'whebq']"
atro,['atro']
co,"['co', 'co']"
gw9aunnsaq,"['My name is [Name], and I am a student at the University of [University Name]. I am majoring in [Major] and have a GPA of 3.5.', 'I am currently studying for my final exams, and I have a test on [Date].', 'I enjoy reading, playing video games and watching movies. I also like hiking, camping in the woods and spending time with my family.', 'I enjoy watching TV shows, listening to music and playing online games.']"
atro,"['atro', '1.']"
ramer,"['ramer', 'ramer', 'ramer']"
co,"['co', 'co', 'co', 'co']"
atro,"['atro', ""The prompt asks for a classification of the word 'atro' into one of several categories. The response is "", ""The prompt asks for a classification of the word 'atro' into one of several categories. The response is ""]"
ramer,"['ramer', 'ramer', 'ramer']"
co,"['co', 'co']"
atro,"['atro', ""The prompt asks for a classification of the word 'atro' into one of several categories. The response is "", ""The prompt asks for a classification of the word 'atro' into one of several categories. The response is ""]"
co,"['co', 'co']"
hmeqfac,"['My name is [Name], and I am a student at the University of [University Name]. I am majoring in Business and Economics.', 'I am currently studying for my final exams.', 'I enjoy reading, playing video games and watching movies.', 'I enjoy going to the movies and watching TV shows.', 'I have traveled to [City], and I loved it.', 'I love trying new cuisines and restaurants.']"
podcast,"['podcast.', 'podcast']"
marriage,"['marriage', 'marriage']"
hail,"['hail', 'hail', 'hail']"
marriage,"['marriage', 'marriage']"
hail,"['hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello']"
rockin,"[""rockin'"", 'Personal Information']"
around,[]
tree,['tree']
follow,"['follow', 'follow']"
like,"['like', 'like', 'like', 'like', 'like']"
retweet,"['Classify the following words into one of the categories: Personal Information, Current Events, Hobbies and Interests, Entertainment, Travel, Food and Dining, Health and Fitness, Relationships, Work and Career, Education, Culture and Society, Sports and Recreation, Personal Growth and Development, Fashion and Style, Home and Family, Technology and Gadgets, Art and Creativity, Pets and Animals, Philosophy and Ethics, Nature and Environment.', 'Classify the following words into one of the categories: Personal Information, Current Events.']"
wait,[]
see,"['see', 'see']"
tonight,"['tonight', 'tonight']"
follow,"['follow', 'follow', 'follow']"
like,[]
retweet,"[""I'm sorry, I don't have enough information to answer that question."", ""I'm not sure, what's happening in the news right now?"", 'I enjoy reading, playing video games and watching movies.', 'I love going to the movies, watching TV shows and listening to music.', 'I love traveling to new places and experiencing different cultures.', 'I love trying new cuisines and experimenting with different flavors.']"
atdiane keaton,[]
co,"['co', 'co', 'co']"
i2ejb5bqxx,"['Name', 'Address', 'World News', 'Sports Scores', 'Reading', 'Music', 'TV Shows', '.5. Travel - ', ', ', '.6. Food and Dining - ', ', ', '.7. Health and Fitness - ', ', ', '.8. Relationship - ', ', ', '.9. Work and Career - ', ', ']"
complete edition 3 additional tracks,"['My name is [Name], and I am a student at XYZ University. My major is [Major], and I am currently working on my thesis project. My hobbies include [Hobbies], and I am interested in learning about [Topic]. My interests include reading, writing and playing sports. I also enjoy spending time with my family and friends.']"
co j0iogvrb4s,['co j0iogvrb4s']
co jcnea3fw80,"['co jcnea3fw80', 'co jcnea3fw80', 'co jcnea3fw80', 'co jcnea3fw80', 'co jcnea3fw80', 'co jcnea3fw80', 'co jcnea3fw80', 'co jcnea3fw80']"
said,"['said', 'said']"
love,['love']
hope,"['hope', 'hope']"
red eye,['red eye.']
angels,"['angel', 'angel', 'angel']"
hailie,"['hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello', 'hi', 'hello']"
world,"['world', 'world', 'world', 'world', 'world']"
8th,"['8th', '8th']"
oct,"['Name', 'Address', 'World News', 'Sports', 'Reading', 'Music', 'History', 'Art', 'TV Shows', 'Movie', 'Europe', 'Asia', 'Italian', 'Indian', 'Italian', 'Indian', 'Exercise', 'Health', 'Family']"
join,"['join', 'join', 'join']"
sale,"['sale', 'sale', 'direct sales', 'indirect sales.', 'sale']"
tix,"['Name', 'Address', ""New Year's Eve"", 'World War II', 'Reading', 'Music', 'Watching TV', 'Listening to Music', 'Europe', 'Hawaii', 'Italian', 'Mexican', 'Exercise', 'Meditation', 'Friends', 'Family', 'Teacher', 'Engineer']"
nan,"['nan', 'nan', 'nan']"
excited,"['excited', 'excited']"
support,"['Name', 'Address', ""New Year's Eve"", 'World War II', 'Reading', 'Music', 'Watching TV', 'Listening to Music', 'Europe', 'Hawaii', 'Italian', 'Mexican', 'Exercise', 'Meditation', 'Friends', 'Family', 'Sales', 'Engineer']"
click,[]
nan,"['nan', 'nan', 'nan']"
experience,"['experience', 'experience']"
ghost,"['ghost', 'ghost']"
atmosphere,"['atmosphere', 'atmosphere']"
follow,['follow']
like,[]
retweet,"[""I'm sorry, I don't have enough information to answer that question."", ""I'm not sure, what's happening in the news right now?"", 'I enjoy reading, playing video games and watching movies.', 'I love watching TV shows and movies, especially action-adventure ones.', 'I love traveling to new places and experiencing different cultures.', 'I love trying new cuisines and experimenting with different flavors.']"
atm,"['atm', 'atm', 'atom', 'atm']"
medicare,[]
food,[]
follow,['follow']
like,[]
retweet,"[""I'm sorry, I don't have enough information to answer that question."", ""I'm not sure, what's going on in the news right now?"", 'I like to read, watch movies and play video games.', 'I love to watch TV shows and movies, especially action-adventure ones.', 'I love to travel and explore new places.', 'I love trying new cuisines and experimenting with different flavors.']"
build,"['build', 'build']"
home,[]
house,"['house', 'house', 'house', 'house', 'house']"
sign,"['sign', 'sign']"
follow us twitter,"['follow us twitter', 'follow us twitter', 'follow us twitter', 'follow us twitter', 'watch us on youtube', 'follow us twitter', 'visit new york', 'follow us twitter', 'try our famous burger', 'follow us twitter', 'exercise regularly', 'follow us twitter', 'talk to my partner']"
like,"['like', 'like', 'like', 'like']"
friday,"['friday', 'friday', 'friday']"
 ,"['Name', 'Address', ""New Year's Eve"", 'World War II', 'Reading', 'Music', 'Watching TV', 'Listening to Music', 'Paris', 'New York', 'Italian', 'Indian', 'Exercise', 'Meditation', 'Friend', 'Spouse', 'Teacher']"
liver,"['liver', 'liver', 'Personal Information']"
jump,"['jump', 'jump']"
summer,"['summer', 'summer']"
essence,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's been challenging but rewarding."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows, especially comedies.', 'I have been to several places in Europe and Asia. I would love to visit more.']"
attheki,[]
dlar,"['My name is [Name], and I am a student at the University of [University Name].', 'I am currently studying for my exams.', 'I enjoy reading, playing video games and watching movies.', 'I enjoy going to the movies and watching TV shows.', 'I have traveled to [City] and visited the Eiffel Tower.', 'I love trying new cuisines and experimenting with different flavors.']"
loi,"['Name,', 'Address', 'World News,', 'Sports Scores', 'Reading,', 'Music', 'Movie Trailers,', 'TV Shows', 'Destinations,', 'Hotels', 'Italian Cuisine,', 'Indian Food', 'Exercise,', 'Healthy Foods', 'Marriage,', 'Family', 'Job Interview,']"
planning,[]
taking,"['taking', 'taking']"
signing,['signiing']
outside,['outside']
stay right,"['My name is [Name] and I am a student at XYZ University. What is your name and where do you attend school?', 'I am currently studying for my final exam. What are your plans after graduation?', 'I enjoy reading, playing guitar and listening to music. What are your favorite hobbies?', 'I love watching movies, playing video games and listening to podcasts. What are your favorite movies or TV shows?']"
right,"['right', 'right']"
stay,"['I am staying in a hotel for the weekend.', 'I am attending a conference in New York City.', 'I enjoy reading, hiking, and playing guitar.', 'I watch TV shows and movies, play video games.', 'I am traveling to Europe next month.', 'I love trying new cuisines and restaurants.', 'I exercise regularly to stay healthy.']"
attheki,"['Name', 'Age', ""What's new in the world?"", 'Reading, writing', 'Watching movies, listening to music', 'Going on a trip to Paris next week', 'Eating out at a fancy restaurant tonight', 'Exercising at the gym every day', 'Talking to my girlfriend about our future plans']"
dlar,"['My name is [Name], and I am a student at the University of [University Name]. I am majoring in Business and Economics.', 'I am currently studying for my final exam.', 'I enjoy reading, playing video games and listening to music.', 'I enjoy watching movies, playing sports and listening to music.', 'I have traveled to [City], and I would like to visit the beach in [State].']"
stay,[]
atthekidlaroi,"['Name', 'Address', 'Age', 'Occupation', 'Current events', 'Sports news', 'Reading', 'Music', 'Watching movies', 'Listening to music', 'Traveling to Europe', 'Visiting museums', 'Eating out', 'Cooking at home', 'Exercising', 'Drinking water']"
co,"['co', 'co']"
friday,"['friday', 'friday', 'Current Events']"
stay,"['stay', 'stay', 'stay', 'stay', 'stay']"
atthekidlar,[]
pre,"['pre', 'pre', 'pre', 'pre']"
save,"['Name', 'Address']"
stay,[]
justice,[]
vinyl,[]
co,"['co', 'co']"
love,"['love', 'love']"
happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
july,"[""My name is [Name], and I'm a student at the University of [University Name]. I'm majoring in [Major] and have a GPA of 3.5."", ""I'm excited to see the new movie that's coming out this weekend. It looks like it will be a great addition to the summer movie lineup."", 'I enjoy reading, playing video games and spending time with my dog. I also enjoy hiking and camping in the summer.']"
see,"['see', 'see']"
atmigo,[]
culture,[]
see,"['see', 'see']"
vegas,"['vegas', 'vegas']"
tweet,[]
shop,"['shop', 'shop']"
offer,"['offer', 'offer']"
sale,"['sale', 'sale']"
remix,"['remix', 'remix', 'remix', 'remix']"
atluda,"['atluda', 'atluda']"
atsnoop,['atsnoop']
