Prompt,Output
kind love u,"['love,', 'kindness,', 'u.']"
thank u much big hug u,"['thank,', 'you', 'big hug.']"
thank u good life,"['thank', 'good', 'life']"
thank u,[]
thank u boys girls love u,"['thank', 'you', 'love']"
happy see u,"['happy', 'see', 'u']"
yaar yeh toh kaafi zyaada ho gaya thank u,"['thank you', 'love', 'appreciation']"
love u,"['love', 'u', 'you']"
thank u,[]
keep watching thank u,"['keep watching,', 'thank u', 'u.']"
oh wow,"['wow,', 'great', 'love.']"
thank u much,"['thank,', 'much,', 'you.']"
looking sharp thank u,"['looking sharp,', 'thank u', 'thank you', 'you.']"
thank u much,"['thank you,', 'much', 'thank u.']"
keep party thank,"['keep', 'party', 'thank']"
love u thanks,"['love,', 'thanks,', 'u.']"
thank u watching,"['thank,', 'watching', 'u.']"
guys girls thank u,"['thank,', 'you', 'u.']"
good party thank u,"['good party', 'thank u', 'party']"
nice thank u,"['thank,', 'nice', 'u.']"
uff unbelievable thank u,"['unbelievable,', 'thank you', 'unbelievable.']"
love u,"['love', 'u', 'you']"
thank u boys girls,"['thank,', 'u', 'you', 'boys.']"
fun keep safe thank u,"['fun', 'keep', 'safe']"
well done thank u,"['thank you,', 'well done,', 'thanks.']"
thank u boys girls,"['thank,', 'u', 'boys.']"
thank u,[]
thank u,[]
sweet sexy thank u,"['sweet', 'sexy', 'thank u']"
thank u much,"['thank,', 'much,', 'you.']"
thank u boys girls kids,"['thank,', 'u', 'you', 'boys.']"
sweet thank u,"['thank,', 'u', 'sweet.']"
happy see happy people,"['happy,', 'see', 'people.']"
thank u hope u enjoyed,"['thank,', 'hope', 'enjoyed.']"
thank u,[]
thank u girls,"['thank', 'u', 'girls']"
thank u boys girls,"['thank,', 'u', 'boys.']"
thank u boys girls,"['thank,', 'u', 'boys.']"
thank u boys girls,"['thank,', 'u', 'boys.']"
thank u boys girls https co bk7huclvjj,"['thank,', 'u', 'you', 'boys.']"
thank u boys girls,"['thank,', 'u', 'boys.']"
thank u boys girls,"['thank,', 'u', 'you', 'boys.']"
col luthraji ko bataya aapne ki aap meri pehli heroine hain keep top secret otherwise may fire agency,"['action', 'heroine', 'fire agency']"
oh oh work harder back drawing board cant let younger audience disappointed desh ke youth ka sawaal hai ps try ddlj please maybe romantic types kids u never know,"['work harder,', 'back drawing board', 'desh ke youth ka sawaal hai.', 'Desh Ke Youth Ka Sawaal']"
please mera vote bhi daal dena 18 know hard believe true best luck darlings,[]
end asksrk otherwise feel workless gotta look busy everyone thank u time good weekend going watch pathaan oops mean going hard work love u,"['work,', 'love', 'going hard.']"
controlled dinenever whinecherish mine amp darkness try shine run rhyme,"['controlled,', 'dinever,', 'mine.', 'Rhyme,']"
people kind hospitable,"['kind,', 'hospitable', 'people.']"
persons person politically correct enough cats r venus dogs r marsor love animals awwww cho chhweet choose whichever maintains peace please,"['choose,', 'awwww', 'love,', 'peace', 'venu,', 'choose', 'awwww,', 'chhweet', 'choose,', 'chhweet', 'venu,', 'chhweet']"
thank u love u,"['thank', 'love', 'u']"
bhai ki picture haidekhna toh laazmi hai,"['picture', 'hadekhn', 'laazmi']"
naah mere baal aur mere apne muscles zyaada suit karte hain,"['love,', 'hope', 'sadness.']"
5000 crores pyaar 3000 crore appreciation 3250 crores hugs 2 billion smiles still counting tera accountant kya bata raha hai,"['appreciation,', 'hugs', 'counting.']"
koi baat nahi apni apni pasand hoti hai pehla half see pathaan second half see film ott weekend,"['koi', 'baaat', 'hain']"
arre yaar telling choose love lovenot possible beautiful elegant loving ladies worked,[]
love u,"['love,', 'u', 'you', 'tweet.']"
haan yaar bahut painkillers khaani padhti hainuff pathaan,"['action,', 'sentiment,', 'name.']"
nahisirf entertainmententertainmententertainment paison ke liye koi kaam karoha ha pathaan,"['entertainment', 'paison', 'pathaan']"
tremendous bit madness,"['bit,', 'madness,', 'tremendous.']"
shukriya,"['shu', 'krira', 'yaa']"
boring date take cool guy watch pathaan theatre,"['watch,', 'cool guy,', 'pathaan theatre.']"
honestly made pizza looks better dont know taste though,"['honesty', 'made', 'pizza']"
journey importantthe end,"['important,', 'the end', 'journ']"
deepika trying open locker professionally dropped everything goofed every moveincluding losing lock key jump,"['deepika', 'trying', 'professionally']"
oh wow thats sosouhmilky,"['wow', 'so', 'souhmilky']"
oh wow thats nice saw people halls also yesterday thank u,"['nice,', 'saw,', 'thank u.']"
yes sweet masha allah healthy,"['yes', 'sweet', 'healthy']"
dont know dropping went straight shampooremember pathaan,"[""don't know,"", 'dropping', 'pathaan.']"
always want work soon soon,"['work', 'want', 'soon']"
oh wow thank,"['thank,', 'wow', 'thanks.']"
gratifying wonderful https co cuhdhqneos,"['grateful,', 'wonderful', 'co.']"
aap sona bandh kar donahi aaoonga,"['aaap', 'sona', 'bandh']"
zindahaiatbb,"['love,', 'hope', 'peace.']"
cant tellkya hai na har picture mein hi cute lagta hoon apne bete pe gaya hoon,"['love,', 'cute', 'picture.']"
dance wife jhoome jo pathaan,"['love,', 'marriage', 'Danseuse.']"
rajurajuraju abhijaat abhijaat,"['rajura', 'abhijaat', 'Raju']"
sweet speaks languages well fantastic experience hope u willatlike film,[]
oh god growing even faster 9 year old tell summer holidays mein shaadi hogi 20 saal baad think name,"['growing', 'even faster', 'summer holidays']"
yeah weekendgood filmday offyeah might well go watch pathaan aur kya karna hai,"['watch', 'film', 'pathaan']"
bhai itna rate return nahi milta even share market see times lets seeha ha pathaan,"['invest', 'return', 'share']"
jai hind salutation means us indians maybe thats pathaan https co nqzazkresk,"['action,', 'sentiment', 'indians.']"
oh wow tum zameen pe lete hue hoflat pathaan,"['wow', 'tum', 'zaameen']"
liked film lot didnt know loved much adi sids belief vision pathaan,"['like', 'liked', 'belief']"
ha ha bhai joke feel karo calculate mat karo currency converter working,"['joke', 'feel', 'currency']"
kinds prayers things almighty still grateful ness zone party follow way later https co 7s3yisckfc,"['prayers,', 'things,', 'almighty.', 'nees.']"
designing menu card may take movies finish,"['designing menu card,', 'may take movies finish,', 'finish.']"
still feeling bro much feel na pathaan,"['still', 'feeling', 'bro']"
oh wow weekend upon us working late call thought catch queries u go ahead asksrk also marriage proposals today cold saying ha ha,"['work,', 'call,', 'catch.', 'askrk,']"
always kind friend let us meet sooner soon bless,"['kind,', 'let us meet sooner soon,', 'bless.']"
mehmaan nawaazi pathaan ke ghar par thank u mehmaans making sunday full love grateful happy loved https co ivfpk07vus,[]
take break nowneed go kids love u thank u coming movies fun watch films strangers become friends hall,[]
maine socha sher interview nahi karte toh iss baar main bhi nahi karunga bas jungle mein aakar dekh lo pathaan,"['maine', 'sacha', 'Sher']"
thats sweet u unfortunately u outnumbered zero millions,"['sweet,', 'unfortunately,', 'zero millions.']"
congratulations health happiness baby mom,[]
kya karoon ab aadat si padh gayi haiha ha honestly beholders eye pathaan,"['honestly', 'holderes', 'pathaan']"
u know answer alreadyi love thats need pathaan,"['love,', ""that's"", 'pathaan.']"
ashutosh ji dimpleji magnanimous actors lovely gentle work funny hologram scene ha ha pathaan,"['lovely,', 'hologram scene', 'pathaan.']"
ab abs toh pathaani meinjawani meinaur dankuni mein hamesha rahenge,"['ab', 'toh', 'pathaani']"
aditya chopra siddharth anand rest us followed instructions pathaan,"['followed,', 'pathaan', 'adi.']"
oh wow please safe enjoy thanks pathaan,"['safe', 'enjoy', 'thanks']"
thank u much love enjoy safely pathaan,"['thank', 'love', 'pathaan']"
bhai numbers phone ke hote hainhum toh khushi ginte hain pathaan,"['action', 'sentiment', 'name']"
one truth ki hum sab ek hi maa aur pita ki santaan hain bharat ke hindustan keindia ke jai hind pathaan,"['action', 'truth', 'hind']"
aawwww please give hug tell pathaan uncle loves pathaan,"['aawwww', 'please', 'pathaan']"
jim solid man bahut maara usne uff thank god survived pathaan,"['survived', 'pathaan', 'jim']"
thank u love believing pathaan,"['thank', 'believing', 'pathaan']"
tiger ka toh main bhi fan hoon bhai bas unke saath mujhe bhi dil mein rakho bas pathaan,"['love', 'hope', 'dream']"
abhi time nahi hai tips ke liyeabhi desh ka sawaal hai ha ha pathaan,"['abh', 'time', 'naah']"
bhai jitna kar saka kar diya naab jaan loge bacche ki kya pathaan,"['action', 'sentiment', 'name']"
bhai abhi toh saalon baad theatre mein ghusa hoon thodi der andar hi rahunga pathaan,"['action', 'sentiment', 'name']"
dammmnnn,"['damn,', 'mahn', 'damn', 'mahn.']"
ha ha lagta hai ab gaon waapis chala jaaoon,"['laugh', 'haha', 'jao']"
dont know said papa karma believe,"[""don't know,"", 'believe', 'papa.']"
naach gaao hanso kya pata kal ho na ho lekin sab karo thoda pyaar se look u celebrating pathaan please,[]
party bhi hogi pataakhe khareedne bazaar ja raha hoon,"['party', 'bhai', 'hoga']"
loving loving asksrk minutes share love thats possible keep questions zinda pathaan,"['love', 'loving', 'askrk']"
gattaca movie never saved anything swim back think life bit like arent meant plan returnu r meant move forward dont come backtry finish u started 57yr olds advice things,"['Gattaca', 'Swim', 'Gattaca', 'Gattaca']"
desh ke liye kya kar sakte hohappy republic day everyone may cherish constitution given us amp take country greater heights jai hind,[]
pathaan finally milte hai bade parde par book tickets https co kmalwzrdw5 https co ghjzukrkrqcelebrate pathaan yrf50 big screen near hindi tamil telugu atdeepikapadukone atthejohnabraham siddharthanand atyrf https co f8udm6pz1i,"['book tickets,', 'celebrate,', 'Hindi.']"
bachpan mein saari filmein single screens par hi dekhi hain uska apna hi maza hai duas prathna aur prayers karta hoonaap sabko aur mujhe kaamyaabi mile congratulations openings https co luf2tscjvh,[]
day pathaan book tickets https co kmalwzrdw5 https co ghjzukrkrqreleasing hindi tamil telugu atdeepikapadukone atthejohnabraham siddharthanand atyrf https co u3qq8vcc6b,"['book tickets,', 'tickets,', 'Tamil.']"
need go lunch family thank u see u movies hall ki kursi par peti mat baandhna enjoy karnaits safe exciting love u pathaan,[]
noble thank u,"['thank,', 'you', 'noble.']"
thank u pathaan,"['thank,', 'u', 'pathaan.']"
sweet,"['sweet,', 'lovely', 'happening.']"
arre wah please film dekhne ke baad dispose used tickets properly thank u,[]
thank u pathaan,"['thank', 'u', 'pathaan']"
beyond crazethis love pathaan,"['love,', 'pathaan', 'crazed.']"
itni unchai pe toh darr lagega mujhe app dekh lo batana kaisi lagi,"['love,', 'hope', 'appreciation.']"
thank u much,"['thank you,', 'much', 'tweet.']"
wow,"['wow,', 'great', 'love.']"
pucca pucca paan bahut yaad aata hai benaras ka,"['puccha', 'pucca', 'paan']"
sid use feed lot good food foodievery tasty exotic stuff,"['feed lot,', 'good food,', 'tasty', 'foodievery', 'feed lot', 'good']"
saw family guess,"['saw,', 'family,', 'guess.']"
interesting betterotherwise questions answersseems like maths asksrk,"['interesting,', 'better,', 'otherwise.']"
thank u guys love pathaan,"['love', 'pathaan', 'thank u']"
aibs bahut hain sardarkuch good qualities dhoond raha hoon ab,"['good qualities', 'hope', 'sardarku']"
hope u enjoy film,"['enjoy,', 'film,', 'hope.']"
main jahan hota hoon wahan romancedancebromance hota hi hai,"['main', 'jaahan', 'hota']"
dont anything new saywhen start interviews,"[""don't,"", 'saywhen,', 'start.']"
oh wow know lots people like peru hope u enjoy film,"['know', 'like', 'hope']"
long woh tujhe pasand karti haiplease kar le mera kya hai mujhe aur koi pasand kar lega https co uztq5mr5a2,"['please', 'thank you', 'love']"
aisi film toh aap hi direct kar sakte hobaaki actors milenge ya nahii sure best,"['direct', 'kaar', 'milenge']"
yes blessings gods kindness,"['blessings,', 'gods', 'kindness.']"
ghar ke bahar hi jao subah aise behave karna jaise morning run se waapis aa rahe ho good idea,"['run', 'good idea', 'morning']"
fast cars tracy chapmanmy lil one plays guitar,"['fast cars,', 'traffic,', 'champion.']"
mummy ji se sar par tel ki maalish karwao,"['love,', 'happy', 'good.']"
get tired working last thing mind taking picture vanity doesnt muscle strength left,[]
belt helmet friend pathaan,"['belt', 'friend', 'pathaan']"
sid really fun director work also caring loves actors also cracks sweet jokes,"['fun,', 'caring,', 'cracks.']"
rohit grace brilliant shared really sweet personal moments,[]
feel even responsible entertain pathaan https co ccawacmjuf,"['responsible,', 'entertainment,', 'pathaan.']"
humaara teaser pyaar ke saath aata haipicture ke saath nahi ha ha,"['hum', 'aata', 'ha']"
beta ek hafta ho gaya abhi tak honeymoon nahi kiya go see pathaan wife honeymoon later,"['beta', 'ek', 'hafta', 'ho']"
kal main sirf apne bacchon ke saath baithungabas,"['main', 'sirf', 'baccho']"
ha ha bhai ko pooch le main nahi bataunga pathaan https co q04ogrnr0w,"['laugh', 'haha', 'joke']"
ajay pillar support love family years wonderful actor beautiful human strong silent,"['support,', 'love,', 'family.']"
oh wow first time always best welcome movies,"['welcome,', 'first time', 'best.']"
like balancing act edge stand small,"['like', 'balance', 'edge']"
good viewing thank u,"['good,', 'viewing', 'thank u.']"
wanderer travel everywhereone day place meet sure,"['travel,', 'meet', 'sure.']"
karta magar nervousness mein tumhara pathaan dekhna disturb kar doonga,"['nervous', 'mei', 'disturb']"
itni shakti rahe mujh mein ki aap ke bacchon ko bhi entertain kar sakoon,"['entertain', 'sakoon', 'baacchon']"
big hug making pathaan loved danced put cut outs bought halls fan clubs made shirts prayed helped ease issues amp made festival good theatres feels like home quick asksrk fun,"['big hug', 'making pathaan loved', 'making pathaan loved', 'danced put cut outs', 'pathaan', 'pathaan']"
join action packed ride pathaan experience atimax wednesday 25th january onwards book tickets https co kmalwzrdw5 https co ghjzukrkrq atdeepikapadukone atthejohnabraham siddharthanand atyrf https co snwf24rgz4,"['ride,', 'pathaan,', 'experience.', 'book', 'Pipa,']"
pathaan releasing hindi tamil telugu book tickets https co kmalwzrdw5 https co ghjzukrkrqatdeepikapadukone atthejohnabraham siddharthanand atyrf,"['release,', 'book', 'tickets.']"
pathaan fights india soldier film industry fight piracy watch pathaan 25th jan worldwide theatres amp say piracy power hands notify us reportpiracyatyashrajfilms com https co mikjc0ctrc,"['fight,', 'india soldier film industry fight piracy watch pathaan 25th jan worldwide theatres amp say piracy power hands notify us reportpiracyaat,', 'com.']"
intezaar khatam hoga sirf2dinon mein 2daysforpathaanbook tickets https co kmalwzrdw5 https co ghjzukrkrqreleasing hindi tamil telugu atdeepikapadukone atthejohnabraham siddharthanand atyrf https co oy5uh0zph6,"['Tickets,', '2daysforpathaab', 'Tickets,', 'Hindi tamil.']"
thank lovely sunday evening sorry hope ki laal gaadi waalon ne apni kursi ki peti baandh li thhi book tickets pathaan see nexthttps co kmalwzrdw5https co ghjzukrkrq https co d2m6gsfczk,"['thank,', 'lovely', 'sorry.', 'Sudha,']"
bas teen din aur 3daysforpathaanbook tickets https co kmalwzrdw5 https co ghjzukrkrqreleasing hindi tamil telugu atdeepikapadukone atthejohnabraham siddharthanand atyrf https co tjquuey601,"['Tickets', 'For', 'Tickets', 'For', 'Tickets', 'For', 'Tickets']"
need get back playing fifa thank u hope u enjoy film didnt get reply dont worry picture abhi baaki hai mere doston pathaan,"['play', 'get back', 'FIFA']"
well done thank u lots love pathaan,"['thank,', 'love,', 'pathaan.']"
thank u bless u hope u enjoy film pathaan,"['thank', 'bless', 'hope']"
remember take tickets home dont leave pathaan,"['remember,', 'take,', 'home.']"
defines body work,"['define,', 'bodywork,', 'soul.']"
ha ha sighti like pathaan,"['like', 'sighti', 'pathaan']"
love vedha,"['love', 'vedha', 'happiness']"
26 jan ki parade bahut important hoti hai gives us opportunity respect republic parade u enjoy pathaan even see later https co pf25spss3q,[]
yeh acchhi peti hai pathaan thank u,"['thank', 'you', 'peti']"
boss lag rehe ho pathaan,"['boss', 'lag', 'rehe']"
mad mass director hard working wife lovely https co q0hjurfetp,"['hardworking,', 'lovely', 'wife.']"
want bookings like kolkata pathan thank u,"['booking,', 'thank you,', 'Kolkatapathana.']"
koshish hi kaamyaab hoti hai,"['hot', 'kaa', 'myaa']"
nahi tickets toh u buy yourselfcrash crash,"['buy', 'crash', 'nahi']"
dimple ji beautiful fun work,"['beautiful,', 'fun,', 'work.']"
thank u,[]
feeling good hard work many people appreciated team pathaan,"['feel', 'hard work', 'team']"
film abhi dekh le girlfriend banana ke liye poori zindagi baaki hai,"['film', 'abh', 'banana']"
feeling lazy want chill bed yaar,"['feel', 'want', 'chill']"
thank u booking tickets good time pathaan,"['booking', 'good time', 'pathaan']"
watch soon,"['watch,', 'soon,', 'tweet.']"
pathaan kiss karne nahi kick karne aaya hai,"['pathaan', 'kiss', 'kaarne']"
yeah ram charan takes,"['take,', 'like,', 'love.']"
take friends along tooand send picture tickets,"['take,', 'send,', 'picture.']"
ha ha ha mother law loves,"['laugh', 'haha', 'mother']"
trying imax fingers crossed pathaan,"['try,', 'imax,', 'fingers.']"
pockets places carry world pocket,"['pocket', 'places', 'carry']"
havent done long time also havent release na pathaan maybe kind film watched audience packed hall,"[""haven't,"", ""also haven't,"", 'kind', 'Pathan']"
get ticket find pathaan,"['get,', 'ticket,', 'find.']"
saw trailer loved jet pack sequence wants one,"['saw,', 'loved,', 'wants.']"
see second day show na pathaan,"['see', 'second day show', 'na']"
believe lifemeans believe magic,"['believe', 'life', 'magic']"
jaise chal raha hai toh lagta hai accha hi hoga hope enjoy pathaan ride,"['enjoy', 'hopeful', 'pathaan']"
aur acchi wali job mil jayegi fikr mat karo ke baad aata hain,"['job', 'fikr', 'aa']"
